observation_date,BSCICP03CHM665S
1966-01-01,99.84339
1966-02-01,99.84637
1966-03-01,99.93755
1966-04-01,100.10190
1966-05-01,100.30040
1966-06-01,100.61870
1966-07-01,100.74170
1966-08-01,100.68280
1966-09-01,100.74080
1966-10-01,100.80410
1966-11-01,100.85050
1966-12-01,100.77730
1967-01-01,100.52860
1967-02-01,99.92170
1967-03-01,99.82772
1967-04-01,99.59266
1967-05-01,99.39376
1967-06-01,99.31060
1967-07-01,99.33950
1967-08-01,99.46280
1967-09-01,99.59940
1967-10-01,99.67902
1967-11-01,99.64122
1967-12-01,99.65232
1968-01-01,99.71018
1968-02-01,99.96798
1968-03-01,100.15960
1968-04-01,100.33700
1968-05-01,100.59530
1968-06-01,100.83590
1968-07-01,100.97720
1968-08-01,101.03520
1968-09-01,101.18420
1968-10-01,101.58850
1968-11-01,102.10580
1968-12-01,102.38320
1969-01-01,102.57630
1969-02-01,102.94310
1969-03-01,103.51710
1969-04-01,103.86380
1969-05-01,103.70410
1969-06-01,103.56760
1969-07-01,103.66860
1969-08-01,103.80430
1969-09-01,103.94650
1969-10-01,103.96940
1969-11-01,103.89720
1969-12-01,103.83700
1970-01-01,103.68370
1970-02-01,103.62440
1970-03-01,103.67520
1970-04-01,103.82680
1970-05-01,103.96530
1970-06-01,103.85210
1970-07-01,103.57470
1970-08-01,103.29450
1970-09-01,102.96740
1970-10-01,102.63460
1970-11-01,102.46910
1970-12-01,102.36210
1971-01-01,102.29310
1971-02-01,102.20290
1971-03-01,102.01640
1971-04-01,101.71920
1971-05-01,101.53660
1971-06-01,101.44910
1971-07-01,101.10050
1971-08-01,100.69020
1971-09-01,100.51950
1971-10-01,100.36730
1971-11-01,100.01410
1971-12-01,99.59637
1972-01-01,99.20706
1972-02-01,99.04362
1972-03-01,99.23337
1972-04-01,99.41314
1972-05-01,99.30910
1972-06-01,99.24909
1972-07-01,99.41976
1972-08-01,99.77268
1972-09-01,100.10090
1972-10-01,100.44880
1972-11-01,100.91370
1972-12-01,101.27950
1973-01-01,101.64730
1973-02-01,101.82560
1973-03-01,101.74740
1973-04-01,101.56440
1973-05-01,101.38070
1973-06-01,101.36640
1973-07-01,101.38230
1973-08-01,101.45150
1973-09-01,101.53290
1973-10-01,101.60620
1973-11-01,101.69160
1973-12-01,101.76180
1974-01-01,101.77860
1974-02-01,101.62660
1974-03-01,101.45330
1974-04-01,101.32100
1974-05-01,101.15250
1974-06-01,100.85270
1974-07-01,100.44510
1974-08-01,100.05220
1974-09-01,99.59801
1974-10-01,98.90314
1974-11-01,98.20174
1974-12-01,97.62737
1975-01-01,96.92975
1975-02-01,96.11275
1975-03-01,95.53808
1975-04-01,95.15853
1975-05-01,94.95306
1975-06-01,94.98062
1975-07-01,95.05972
1975-08-01,95.04175
1975-09-01,94.88537
1975-10-01,95.09836
1975-11-01,95.57793
1975-12-01,96.08498
1976-01-01,96.59132
1976-02-01,97.19252
1976-03-01,97.78088
1976-04-01,98.30624
1976-05-01,98.53963
1976-06-01,98.51457
1976-07-01,98.42589
1976-08-01,98.34338
1976-09-01,98.45009
1976-10-01,98.61766
1976-11-01,98.49497
1976-12-01,98.16259
1977-01-01,98.07969
1977-02-01,98.19764
1977-03-01,98.32458
1977-04-01,98.41787
1977-05-01,98.53598
1977-06-01,98.56387
1977-07-01,98.60858
1977-08-01,98.68087
1977-09-01,98.71722
1977-10-01,98.77493
1977-11-01,98.88316
1977-12-01,99.05206
1978-01-01,99.07502
1978-02-01,98.95901
1978-03-01,98.78255
1978-04-01,98.68700
1978-05-01,98.66493
1978-06-01,98.79259
1978-07-01,98.87523
1978-08-01,98.87187
1978-09-01,98.71072
1978-10-01,98.34133
1978-11-01,98.03440
1978-12-01,98.01858
1979-01-01,98.20875
1979-02-01,98.47781
1979-03-01,98.86422
1979-04-01,99.34518
1979-05-01,99.76775
1979-06-01,100.09650
1979-07-01,100.27400
1979-08-01,100.51740
1979-09-01,100.80990
1979-10-01,101.13730
1979-11-01,101.35600
1979-12-01,101.43450
1980-01-01,101.42290
1980-02-01,101.47930
1980-03-01,101.44230
1980-04-01,101.16040
1980-05-01,100.80150
1980-06-01,100.55240
1980-07-01,100.44560
1980-08-01,100.32550
1980-09-01,100.21780
1980-10-01,100.25020
1980-11-01,100.23590
1980-12-01,100.13320
1981-01-01,99.98074
1981-02-01,99.85661
1981-03-01,99.74040
1981-04-01,99.62559
1981-05-01,99.50700
1981-06-01,99.33173
1981-07-01,99.25815
1981-08-01,99.21494
1981-09-01,99.08379
1981-10-01,98.98325
1981-11-01,98.94334
1981-12-01,98.84736
1982-01-01,98.55767
1982-02-01,98.15519
1982-03-01,97.81482
1982-04-01,97.60259
1982-05-01,97.42630
1982-06-01,97.23627
1982-07-01,96.95408
1982-08-01,96.71873
1982-09-01,96.61600
1982-10-01,96.60717
1982-11-01,96.71465
1982-12-01,96.85810
1983-01-01,96.99072
1983-02-01,97.21915
1983-03-01,97.48171
1983-04-01,97.81607
1983-05-01,98.21670
1983-06-01,98.54642
1983-07-01,98.79380
1983-08-01,98.91354
1983-09-01,98.94275
1983-10-01,98.93613
1983-11-01,98.95819
1983-12-01,99.11507
1984-01-01,99.28620
1984-02-01,99.46400
1984-03-01,99.62165
1984-04-01,99.67131
1984-05-01,99.64790
1984-06-01,99.70261
1984-07-01,99.71124
1984-08-01,99.79542
1984-09-01,99.97393
1984-10-01,100.15530
1984-11-01,100.29840
1984-12-01,100.35550
1985-01-01,100.38050
1985-02-01,100.37600
1985-03-01,100.34220
1985-04-01,100.37090
1985-05-01,100.50950
1985-06-01,100.64730
1985-07-01,100.73090
1985-08-01,100.74800
1985-09-01,100.67300
1985-10-01,100.64820
1985-11-01,100.71180
1985-12-01,100.87110
1986-01-01,101.05320
1986-02-01,101.19570
1986-03-01,101.19660
1986-04-01,101.01430
1986-05-01,100.69170
1986-06-01,100.33200
1986-07-01,100.22510
1986-08-01,100.30340
1986-09-01,100.26940
1986-10-01,100.11330
1986-11-01,99.95886
1986-12-01,99.87245
1987-01-01,99.86343
1987-02-01,99.85973
1987-03-01,99.89972
1987-04-01,99.93430
1987-05-01,99.89475
1987-06-01,99.89745
1987-07-01,99.99304
1987-08-01,100.10970
1987-09-01,100.26090
1987-10-01,100.38070
1987-11-01,100.30500
1987-12-01,100.10700
1988-01-01,99.95338
1988-02-01,99.92466
1988-03-01,100.02760
1988-04-01,100.22960
1988-05-01,100.49180
1988-06-01,100.74610
1988-07-01,100.90680
1988-08-01,101.01330
1988-09-01,101.09260
1988-10-01,101.20820
1988-11-01,101.34590
1988-12-01,101.49300
1989-01-01,101.53400
1989-02-01,101.46550
1989-03-01,101.29790
1989-04-01,101.18230
1989-05-01,101.22810
1989-06-01,101.32550
1989-07-01,101.36910
1989-08-01,101.41530
1989-09-01,101.50530
1989-10-01,101.59140
1989-11-01,101.70700
1989-12-01,101.80750
1990-01-01,101.80870
1990-02-01,101.74380
1990-03-01,101.65840
1990-04-01,101.51740
1990-05-01,101.35040
1990-06-01,101.14400
1990-07-01,100.90640
1990-08-01,100.65100
1990-09-01,100.33810
1990-10-01,99.99043
1990-11-01,99.64170
1990-12-01,99.29710
1991-01-01,98.99912
1991-02-01,98.71262
1991-03-01,98.49010
1991-04-01,98.25594
1991-05-01,98.10611
1991-06-01,97.94003
1991-07-01,97.84252
1991-08-01,97.80844
1991-09-01,97.74961
1991-10-01,97.71327
1991-11-01,97.71769
1991-12-01,97.76189
1992-01-01,97.84174
1992-02-01,97.92575
1992-03-01,97.98258
