observation_date,BSCICP03DEM665S
1962-12-01,100.18110
1963-01-01,100.05100
1963-02-01,100.01850
1963-03-01,100.05590
1963-04-01,100.12140
1963-05-01,100.23960
1963-06-01,100.39710
1963-07-01,100.50280
1963-08-01,100.58420
1963-09-01,100.64230
1963-10-01,100.68790
1963-11-01,100.80140
1963-12-01,101.04850
1964-01-01,101.32740
1964-02-01,101.55400
1964-03-01,101.73580
1964-04-01,101.90220
1964-05-01,102.00110
1964-06-01,102.04720
1964-07-01,102.10170
1964-08-01,102.18760
1964-09-01,102.23480
1964-10-01,102.22980
1964-11-01,102.20750
1964-12-01,102.17710
1965-01-01,102.10540
1965-02-01,101.98670
1965-03-01,101.83500
1965-04-01,101.64650
1965-05-01,101.43370
1965-06-01,101.25680
1965-07-01,101.16310
1965-08-01,101.08910
1965-09-01,100.95400
1965-10-01,100.73450
1965-11-01,100.52030
1965-12-01,100.34180
1966-01-01,100.22830
1966-02-01,100.11160
1966-03-01,99.94008
1966-04-01,99.71606
1966-05-01,99.43225
1966-06-01,99.09904
1966-07-01,98.71417
1966-08-01,98.24284
1966-09-01,97.61063
1966-10-01,96.97829
1966-11-01,96.47130
1966-12-01,96.34135
1967-01-01,96.45300
1967-02-01,96.57012
1967-03-01,96.71504
1967-04-01,96.93370
1967-05-01,97.18961
1967-06-01,97.49820
1967-07-01,97.94524
1967-08-01,98.41702
1967-09-01,98.89832
1967-10-01,99.35372
1967-11-01,99.67822
1967-12-01,99.83030
1968-01-01,99.97823
1968-02-01,100.23030
1968-03-01,100.60440
1968-04-01,101.01190
1968-05-01,101.43220
1968-06-01,101.85950
1968-07-01,102.27320
1968-08-01,102.64360
1968-09-01,102.87050
1968-10-01,102.96310
1968-11-01,103.00890
1968-12-01,103.08200
1969-01-01,103.19630
1969-02-01,103.35090
1969-03-01,103.53330
1969-04-01,103.64320
1969-05-01,103.62480
1969-06-01,103.59240
1969-07-01,103.61280
1969-08-01,103.69930
1969-09-01,103.71260
1969-10-01,103.58820
1969-11-01,103.36220
1969-12-01,103.09870
1970-01-01,102.80210
1970-02-01,102.48390
1970-03-01,102.10590
1970-04-01,101.74210
1970-05-01,101.44730
1970-06-01,101.30630
1970-07-01,101.21960
1970-08-01,101.00470
1970-09-01,100.64020
1970-10-01,100.24490
1970-11-01,100.01030
1970-12-01,99.96880
1971-01-01,99.95412
1971-02-01,99.95679
1971-03-01,99.78588
1971-04-01,99.57595
1971-05-01,99.40831
1971-06-01,99.20670
1971-07-01,98.82610
1971-08-01,98.37202
1971-09-01,98.03143
1971-10-01,97.97732
1971-11-01,98.19956
1971-12-01,98.55910
1972-01-01,98.91874
1972-02-01,99.17554
1972-03-01,99.33313
1972-04-01,99.40143
1972-05-01,99.47441
1972-06-01,99.62303
1972-07-01,99.78336
1972-08-01,99.99987
1972-09-01,100.26520
1972-10-01,100.57760
1972-11-01,100.91150
1972-12-01,101.25780
1973-01-01,101.56410
1973-02-01,101.70310
1973-03-01,101.71520
1973-04-01,101.70920
1973-05-01,101.61410
1973-06-01,101.38220
1973-07-01,101.08400
1973-08-01,100.70770
1973-09-01,100.22300
1973-10-01,99.68203
1973-11-01,99.35195
1973-12-01,99.31380
1974-01-01,99.36083
1974-02-01,99.35084
1974-03-01,99.23806
1974-04-01,99.00423
1974-05-01,98.69257
1974-06-01,98.36736
1974-07-01,97.99367
1974-08-01,97.48830
1974-09-01,96.97588
1974-10-01,96.54916
1974-11-01,96.23182
1974-12-01,96.05209
1975-01-01,96.04590
1975-02-01,96.08350
1975-03-01,96.14988
1975-04-01,96.26836
1975-05-01,96.47297
1975-06-01,96.76894
1975-07-01,97.16335
1975-08-01,97.60468
1975-09-01,98.05903
1975-10-01,98.46084
