observation_date,BSCICP03JPM665S
1974-06-01,101.08230
1974-07-01,100.47300
1974-08-01,99.88404
1974-09-01,99.35724
1974-10-01,98.93546
1974-11-01,98.58096
1974-12-01,98.26035
1975-01-01,97.96228
1975-02-01,97.68122
1975-03-01,97.42840
1975-04-01,97.22565
1975-05-01,97.07104
1975-06-01,96.98163
1975-07-01,96.98801
1975-08-01,97.06373
1975-09-01,97.19746
1975-10-01,97.39587
1975-11-01,97.62846
1975-12-01,97.87027
1976-01-01,98.11040
1976-02-01,98.35139
1976-03-01,98.60237
1976-04-01,98.87155
1976-05-01,99.14859
1976-06-01,99.41723
1976-07-01,99.66009
1976-08-01,99.87189
1976-09-01,100.03380
1976-10-01,100.11890
1976-11-01,100.14740
1976-12-01,100.12730
1977-01-01,100.05120
1977-02-01,99.94272
1977-03-01,99.81876
1977-04-01,99.68524
1977-05-01,99.54782
1977-06-01,99.41054
1977-07-01,99.27836
1977-08-01,99.15956
1977-09-01,99.07247
1977-10-01,99.03867
1977-11-01,99.04466
1977-12-01,99.08460
1978-01-01,99.16340
1978-02-01,99.26570
1978-03-01,99.38252
1978-04-01,99.51421
1978-05-01,99.65898
1978-06-01,99.82068
1978-07-01,100.00340
1978-08-01,100.18940
1978-09-01,100.35440
1978-10-01,100.48080
1978-11-01,100.59040
1978-12-01,100.71310
1979-01-01,100.87120
1979-02-01,101.05100
1979-03-01,101.23400
1979-04-01,101.40600
1979-05-01,101.56380
1979-06-01,101.70020
1979-07-01,101.80470
1979-08-01,101.88410
1979-09-01,101.93770
1979-10-01,101.95760
1979-11-01,101.95380
1979-12-01,101.93140
1980-01-01,101.89090
1980-02-01,101.84760
1980-03-01,101.81750
1980-04-01,101.80690
1980-05-01,101.78860
1980-06-01,101.71660
1980-07-01,101.54940
1980-08-01,101.32650
1980-09-01,101.09240
1980-10-01,100.87530
1980-11-01,100.67800
1980-12-01,100.50140
1981-01-01,100.34880
1981-02-01,100.20930
1981-03-01,100.07470
1981-04-01,99.94410
1981-05-01,99.82279
1981-06-01,99.72572
1981-07-01,99.67156
1981-08-01,99.65257
1981-09-01,99.66840
1981-10-01,99.72482
1981-11-01,99.79745
1981-12-01,99.85719
1982-01-01,99.87925
1982-02-01,99.86514
1982-03-01,99.80826
1982-04-01,99.69551
1982-05-01,99.55190
1982-06-01,99.40125
1982-07-01,99.25800
1982-08-01,99.12583
1982-09-01,99.00891
1982-10-01,98.91191
1982-11-01,98.82487
1982-12-01,98.73909
1983-01-01,98.65313
1983-02-01,98.57749
1983-03-01,98.53502
1983-04-01,98.55098
1983-05-01,98.60993
1983-06-01,98.70273
1983-07-01,98.83052
1983-08-01,98.97491
1983-09-01,99.12067
1983-10-01,99.26173
1983-11-01,99.40601
1983-12-01,99.56909
1984-01-01,99.76479
1984-02-01,99.97680
1984-03-01,100.18370
1984-04-01,100.36760
1984-05-01,100.52780
1984-06-01,100.65770
1984-07-01,100.74620
1984-08-01,100.80830
1984-09-01,100.85440
1984-10-01,100.88610
1984-11-01,100.90730
1984-12-01,100.91600
1985-01-01,100.90660
1985-02-01,100.88390
1985-03-01,100.84980
1985-04-01,100.80240
1985-05-01,100.74710
1985-06-01,100.68650
1985-07-01,100.61850
1985-08-01,100.53980
1985-09-01,100.44050
1985-10-01,100.30930
1985-11-01,100.15920
1985-12-01,100.00300
1986-01-01,99.84642
1986-02-01,99.68907
1986-03-01,99.52741
1986-04-01,99.35947
1986-05-01,99.19349
1986-06-01,99.04406
1986-07-01,98.92619
1986-08-01,98.83290
1986-09-01,98.76199
1986-10-01,98.71810
1986-11-01,98.69257
1986-12-01,98.68250
1987-01-01,98.69160
1987-02-01,98.71546
1987-03-01,98.75634
1987-04-01,98.82320
1987-05-01,98.91465
1987-06-01,99.04104
1987-07-01,99.22176
1987-08-01,99.44784
1987-09-01,99.72236
1987-10-01,100.05580
1987-11-01,100.41270
1987-12-01,100.75180
1988-01-01,101.04260
1988-02-01,101.29990
1988-03-01,101.53870
1988-04-01,101.76200
1988-05-01,101.96870
1988-06-01,102.14460
1988-07-01,102.27190
1988-08-01,102.36880
1988-09-01,102.45080
1988-10-01,102.52370
1988-11-01,102.59070
1988-12-01,102.65070
1989-01-01,102.70280
1989-02-01,102.75770
1989-03-01,102.83060
1989-04-01,102.93190
1989-05-01,103.03940
1989-06-01,103.11950
1989-07-01,103.14310
1989-08-01,103.12810
1989-09-01,103.09200
1989-10-01,103.04390
1989-11-01,102.99620
1989-12-01,102.96130
1990-01-01,102.94640
1990-02-01,102.93620
1990-03-01,102.90970
1990-04-01,102.85220
1990-05-01,102.78310
1990-06-01,102.73040
1990-07-01,102.71540
1990-08-01,102.72200
1990-09-01,102.73000
1990-10-01,102.72570
1990-11-01,102.71230
1990-12-01,102.69510
1991-01-01,102.67500
1991-02-01,102.64720
1991-03-01,102.59880
1991-04-01,102.51530
1991-05-01,102.40730
1991-06-01,102.28120
1991-07-01,102.13530
1991-08-01,101.97380
1991-09-01,101.79310
1991-10-01,101.58340
1991-11-01,101.35030
1991-12-01,101.09250
1992-01-01,100.80290
1992-02-01,100.49540
1992-03-01,100.18330
1992-04-01,99.87675
1992-05-01,99.58465
1992-06-01,99.32351
1992-07-01,99.11214
1992-08-01,98.93523
1992-09-01,98.78162
1992-10-01,98.64801
1992-11-01,98.51952
1992-12-01,98.38273
1993-01-01,98.23370
1993-02-01,98.09427
1993-03-01,98.00152
1993-04-01,97.98767
1993-05-01,98.01334
1993-06-01,98.02983
1993-07-01,98.00188
1993-08-01,97.93970
1993-09-01,97.85617
1993-10-01,97.75829
1993-11-01,97.66003
1993-12-01,97.57915
1994-01-01,97.53442
1994-02-01,97.52552
1994-03-01,97.56423
1994-04-01,97.67001
1994-05-01,97.81776
1994-06-01,97.98751
1994-07-01,98.17203
1994-08-01,98.36251
1994-09-01,98.55297
1994-10-01,98.73866
1994-11-01,98.91451
1994-12-01,99.06877
1995-01-01,99.18639
1995-02-01,99.27406
1995-03-01,99.32991
1995-04-01,99.34312
1995-05-01,99.32531
1995-06-01,99.28101
1995-07-01,99.20895
1995-08-01,99.13004
1995-09-01,99.07079
1995-10-01,99.05375
1995-11-01,99.06816
1995-12-01,99.10634
1996-01-01,99.16851
1996-02-01,99.24401
1996-03-01,99.32550
1996-04-01,99.40998
1996-05-01,99.49375
1996-06-01,99.57279
1996-07-01,99.64392
1996-08-01,99.71066
1996-09-01,99.77813
1996-10-01,99.85250
1996-11-01,99.93950
1996-12-01,100.04940
1997-01-01,100.18910
1997-02-01,100.33170
1997-03-01,100.43690
1997-04-01,100.46840
1997-05-01,100.44880
1997-06-01,100.39710
