observation_date,CSCICP03JPM665S
1982-04-01,100.60280
1982-05-01,100.41870
1982-06-01,100.24790
1982-07-01,100.11820
1982-08-01,100.05960
1982-09-01,100.05130
1982-10-01,100.08010
1982-11-01,100.14880
1982-12-01,100.24710
1983-01-01,100.37470
1983-02-01,100.53460
1983-03-01,100.69660
1983-04-01,100.82040
1983-05-01,100.87690
1983-06-01,100.90710
1983-07-01,100.96580
1983-08-01,101.09080
1983-09-01,101.24500
1983-10-01,101.37400
1983-11-01,101.43460
1983-12-01,101.44900
1984-01-01,101.44440
1984-02-01,101.43810
1984-03-01,101.44270
1984-04-01,101.47190
1984-05-01,101.53610
1984-06-01,101.61320
1984-07-01,101.67600
1984-08-01,101.70640
1984-09-01,101.72420
1984-10-01,101.75650
1984-11-01,101.82010
1984-12-01,101.88920
1985-01-01,101.92290
1985-02-01,101.88820
1985-03-01,101.81740
1985-04-01,101.75130
1985-05-01,101.71850
1985-06-01,101.71050
1985-07-01,101.71360
1985-08-01,101.71770
1985-09-01,101.71310
1985-10-01,101.68600
1985-11-01,101.62330
1985-12-01,101.53970
1986-01-01,101.44930
1986-02-01,101.35680
1986-03-01,101.25740
1986-04-01,101.13740
1986-05-01,100.98210
1986-06-01,100.80420
1986-07-01,100.61660
1986-08-01,100.42680
1986-09-01,100.24180
1986-10-01,100.07520
1986-11-01,99.94865
1986-12-01,99.87611
1987-01-01,99.89856
1987-02-01,100.06520
1987-03-01,100.31930
1987-04-01,100.60650
1987-05-01,100.89460
1987-06-01,101.16110
1987-07-01,101.37940
1987-08-01,101.52660
1987-09-01,101.64010
1987-10-01,101.76140
1987-11-01,101.91420
1987-12-01,102.07480
1988-01-01,102.20200
1988-02-01,102.25970
1988-03-01,102.27240
1988-04-01,102.26720
1988-05-01,102.26210
1988-06-01,102.27020
1988-07-01,102.30510
1988-08-01,102.37300
1988-09-01,102.43790
1988-10-01,102.44440
1988-11-01,102.34540
1988-12-01,102.18620
1989-01-01,102.02100
1989-02-01,101.88910
1989-03-01,101.79700
1989-04-01,101.75880
1989-05-01,101.79700
1989-06-01,101.88910
1989-07-01,102.02090
1989-08-01,102.18600
1989-09-01,102.34520
1989-10-01,102.44440
1989-11-01,102.43870
1989-12-01,102.37580
1990-01-01,102.31040
1990-02-01,102.27530
1990-03-01,102.25600
1990-04-01,102.22480
1990-05-01,102.16130
1990-06-01,102.08260
1990-07-01,102.01570
1990-08-01,101.98470
1990-09-01,101.98630
1990-10-01,102.02070
1990-11-01,102.09020
1990-12-01,102.16430
1991-01-01,102.20230
1991-02-01,102.17040
1991-03-01,102.09490
1991-04-01,102.00330
1991-05-01,101.90740
1991-06-01,101.80450
1991-07-01,101.68090
1991-08-01,101.52400
1991-09-01,101.35380
1991-10-01,101.19730
1991-11-01,101.07580
1991-12-01,100.97800
1992-01-01,100.89040
1992-02-01,100.80340
1992-03-01,100.70750
1992-04-01,100.58880
1992-05-01,100.43370
1992-06-01,100.25560
1992-07-01,100.06760
1992-08-01,99.87728
1992-09-01,99.69186
1992-10-01,99.52558
1992-11-01,99.40214
1992-12-01,99.33804
1993-01-01,99.37453
1993-02-01,99.55031
1993-03-01,99.77343
1993-04-01,99.92004
1993-05-01,99.88569
1993-06-01,99.71309
1993-07-01,99.44355
