observation_date,DEUPIEAMP01GYM
1996-01-01,0.6055543915
1996-02-01,0.5001562901
1996-03-01,0.4063769713
1996-04-01,0.3012674109
1996-05-01,0.1973820955
1996-06-01,0.0000000000
1996-07-01,-0.1037774937
1996-08-01,-0.3935784674
1996-09-01,-0.1967892457
1996-10-01,0.1036806683
1996-11-01,0.1973820955
1996-12-01,0.3012674109
1997-01-01,0.3943545147
1997-02-01,0.4043545786
1997-03-01,0.3943545147
1997-04-01,0.4039357753
1997-05-01,0.7983411108
1997-06-01,0.9962640168
1997-07-01,1.2050696073
1997-08-01,1.4973484436
1997-09-01,1.4009962736
1997-10-01,1.2014500179
1997-11-01,1.3063763576
1997-12-01,1.0978767351
1998-01-01,1.0026876151
1998-02-01,0.7951259824
1998-03-01,0.8993177530
1998-04-01,0.6911491611
1998-05-01,0.2982925304
1998-06-01,0.1027538066
1998-07-01,0.0000000000
1998-08-01,-0.4917528856
1998-09-01,-0.6959369571
1998-10-01,-0.9927335982
1998-11-01,-1.0848429019
1998-12-01,-1.2806065000
1999-01-01,-1.5760925214
1999-02-01,-1.5777071931
1999-03-01,-1.4752586807
1999-04-01,-1.0859542955
1999-05-01,-1.0870679924
1999-06-01,-0.7903921180
1999-07-01,-0.4927119721
1999-08-01,0.0000000000
1999-09-01,0.4019375478
1999-10-01,0.8993177530
1999-11-01,1.1898603208
1999-12-01,1.6915732825
2000-01-01,2.5267754948
2000-02-01,2.9457687100
2000-03-01,3.0466881489
2000-04-01,2.8482651506
2000-05-01,3.3696215562
2000-06-01,3.3626487353
2000-07-01,3.3629048845
2000-08-01,3.3666220517
2000-09-01,3.6748100936
2000-10-01,3.5754533393
2000-11-01,3.3742331279
2000-12-01,2.8676395585
2001-01-01,2.2312373418
2001-02-01,2.1233569170
2001-03-01,2.1190716477
2001-04-01,2.1148036161
2001-05-01,1.9057171451
2001-06-01,1.7017016861
2001-07-01,1.0978044064
2001-08-01,0.7968127390
2001-09-01,0.2970297165
2001-10-01,-0.0989119728
2001-11-01,-0.2967358956
2001-12-01,-0.1984127074
2002-01-01,0.0992063422
2002-02-01,-0.0990098940
2002-03-01,0.0000000000
2002-04-01,0.0000000000
2002-05-01,-0.1968503798
2002-06-01,-0.2952755697
2002-07-01,0.0000000000
2002-08-01,0.1976284675
2002-09-01,0.1974333523
2002-10-01,0.5940593985
2002-11-01,0.4960317455
2002-12-01,0.7952286298
2003-01-01,0.7928642235
2003-02-01,1.0901882973
2003-03-01,0.8893280693
2003-04-01,0.3944773240
2003-05-01,0.0986193224
2003-06-01,0.0987166761
2003-07-01,0.0000000000
2003-08-01,-0.0986193224
2003-09-01,-0.0985221605
2003-10-01,-0.1968503798
2003-11-01,0.0987166761
2003-12-01,-0.0986193224
2004-01-01,-0.3933136627
2004-02-01,-0.5882352868
2004-03-01,-0.1958863834
2004-04-01,0.5893909552
2004-05-01,1.1822660065
2004-06-01,1.1834319492
2004-07-01,1.6781836090
2004-08-01,1.8756169727
2004-09-01,1.9723865858
2004-10-01,2.4654832323
2004-11-01,2.2682445760
2004-12-01,2.3692003878
2005-01-01,2.5666337515
2005-02-01,2.6716512050
2005-03-01,2.3730212545
2005-04-01,1.8731529872
2005-05-01,1.3720100610
2005-06-01,1.7764481712
2005-07-01,1.3811998223
2005-08-01,1.3872966510
2005-09-01,1.5955500920
2005-10-01,1.3078470837
2005-11-01,1.3016381804
2005-12-01,1.3016381804
2006-01-01,1.2072434628
2006-02-01,1.3052208848
2006-03-01,1.3026052004
2006-04-01,1.9038076117
2006-05-01,2.4096385471
2006-06-01,2.1021020860
2006-07-01,2.6026025938
2006-08-01,2.3976023903
2006-09-01,1.6915422867
2006-10-01,1.8867924495
2006-11-01,1.9900497471
2006-12-01,1.9900497471
2007-01-01,1.9880715665
2007-02-01,1.8830525240
2007-03-01,1.9782393739
2007-04-01,1.7699115018
2007-05-01,1.6666666759
2007-06-01,1.8627451058
2007-07-01,1.4634146339
2007-08-01,1.4634146339
2007-09-01,1.8590998010
2007-10-01,1.6569200762
2007-11-01,2.0487804939
2007-12-01,1.8536585334
2008-01-01,2.2417154043
2008-02-01,2.5291828927
2008-03-01,2.6188166736
2008-04-01,2.5120772863
2008-05-01,2.8929604623
2008-06-01,3.1761309031
2008-07-01,3.7500000036
2008-08-01,3.4615384567
2008-09-01,3.3621517730
2008-10-01,2.3969319303
2008-11-01,0.8604206541
2008-12-01,-0.1915708798
2009-01-01,-0.9532888498
2009-02-01,-1.7077798941
2009-03-01,-2.4574669106
2009-04-01,-2.7332704894
2009-05-01,-3.3739456372
2009-06-01,-3.6380597047
2009-07-01,-4.4485634817
2009-08-01,-3.8104089139
2009-09-01,-3.9033457161
2009-10-01,-3.1835205959
2009-11-01,-1.8957346036
2009-12-01,-0.5758157346
2010-01-01,0.1924927801
2010-02-01,0.6874830298
2010-03-01,1.5918735037
2010-04-01,2.2088281992
2010-05-01,2.9255169220
2010-06-01,3.0344206937
2010-07-01,3.2342934773
2010-08-01,3.1429035706
2010-09-01,3.4479087209
2010-10-01,3.4479087209
2010-11-01,3.5530145215
2010-12-01,4.0676325062
2011-01-01,4.2813455639
2011-02-01,4.4760935847
2011-03-01,4.4534412892
2011-04-01,4.1247484909
2011-05-01,3.5999999998
2011-06-01,3.3898305018
2011-07-01,3.5892323027
2011-08-01,3.1809145105
2011-09-01,3.0753968248
2011-10-01,2.9761904672
2011-11-01,2.8712871323
2011-12-01,2.2637795329
2012-01-01,2.0527859331
2012-02-01,2.0447906515
2012-03-01,1.8410852744
2012-04-01,1.7391304296
2012-05-01,1.5444015432
2012-06-01,1.2536162053
2012-07-01,1.0587102969
2012-08-01,1.4450867060
2012-09-01,1.5399422509
2012-10-01,1.5414258278
2012-11-01,1.3474494632
2012-12-01,1.1549566857
2013-01-01,0.6704980806
2013-02-01,0.3816793915
2013-03-01,0.0951474767
2013-04-01,-0.2849002791
2013-05-01,-0.2851710968
2013-06-01,-0.1904761965
2013-07-01,-0.1904761965
2013-08-01,-0.4748338084
2013-09-01,-0.6635071153
2013-10-01,-0.6641366287
