observation_date,GGNLBACNA188N
1982-01-01,0.220
1983-01-01,-0.010
1984-01-01,0.070
1985-01-01,0.923
1986-01-01,-0.345
1987-01-01,-0.699
1988-01-01,-0.963
1989-01-01,-0.912
1990-01-01,-0.717
1991-01-01,-1.037
1992-01-01,-1.217
1993-01-01,-0.889
1994-01-01,-1.676
1995-01-01,-0.944
1996-01-01,-0.733
1997-01-01,-0.726
1998-01-01,-1.076
1999-01-01,-2.296
2000-01-01,-2.811
2001-01-01,-2.562
2002-01-01,-2.843
2003-01-01,-2.360
2004-01-01,-1.489
2005-01-01,-1.380
2006-01-01,-1.126
2007-01-01,0.058
2008-01-01,-0.024
2009-01-01,-1.721
2010-01-01,-0.356
2011-01-01,-0.096
2012-01-01,-0.297
2013-01-01,-0.823
2014-01-01,-0.672
2015-01-01,-2.500
2016-01-01,-3.326
2017-01-01,-3.339
2018-01-01,-4.202
2019-01-01,-6.005
2020-01-01,-9.563
2021-01-01,-5.902
2022-01-01,-7.319
2023-01-01,-6.708
2024-01-01,-7.344
