observation_date,GGNLBAJPA188N
1980-01-01,-4.415
1981-01-01,-3.852
1982-01-01,-3.813
1983-01-01,-3.947
1984-01-01,-2.624
1985-01-01,-1.371
1986-01-01,-1.362
1987-01-01,-0.359
1988-01-01,0.495
1989-01-01,1.231
1990-01-01,1.959
1991-01-01,1.675
1992-01-01,0.574
1993-01-01,-2.391
1994-01-01,-3.762
1995-01-01,-4.296
1996-01-01,-4.869
1997-01-01,-3.526
1998-01-01,-10.047
1999-01-01,-6.749
2000-01-01,-7.282
2001-01-01,-6.200
2002-01-01,-7.336
2003-01-01,-7.433
2004-01-01,-5.314
2005-01-01,-4.438
2006-01-01,-3.029
2007-01-01,-2.901
2008-01-01,-4.110
2009-01-01,-9.693
2010-01-01,-9.076
2011-01-01,-8.986
2012-01-01,-8.196
2013-01-01,-7.611
2014-01-01,-5.616
2015-01-01,-3.678
2016-01-01,-3.600
2017-01-01,-3.099
2018-01-01,-2.471
2019-01-01,-3.045
2020-01-01,-9.075
2021-01-01,-6.128
2022-01-01,-4.243
2023-01-01,-2.261
