observation_date,IRSTCI01NZM156N
1985-01-01,14.89
1985-02-01,20.30
1985-03-01,67.32
1985-04-01,17.43
1985-05-01,21.20
1985-06-01,21.75
1985-07-01,22.41
1985-08-01,23.31
1985-09-01,24.64
1985-10-01,23.58
1985-11-01,20.60
1985-12-01,19.49
1986-01-01,17.21
1986-02-01,19.06
1986-03-01,19.45
1986-04-01,21.23
1986-05-01,17.86
1986-06-01,14.66
1986-07-01,15.35
1986-08-01,15.72
1986-09-01,14.50
1986-10-01,16.30
1986-11-01,18.27
1986-12-01,22.74
1987-01-01,23.30
1987-02-01,25.42
1987-03-01,27.20
1987-04-01,31.13
1987-05-01,22.57
1987-06-01,18.98
1987-07-01,17.91
1987-08-01,16.63
1987-09-01,18.31
1987-10-01,20.13
1987-11-01,18.02
1987-12-01,16.33
1988-01-01,15.34
1988-02-01,16.70
1988-03-01,15.50
1988-04-01,17.76
1988-05-01,17.18
1988-06-01,15.94
1988-07-01,15.08
1988-08-01,14.42
1988-09-01,14.27
1988-10-01,14.68
1988-11-01,13.28
1988-12-01,13.10
1989-01-01,13.36
1989-02-01,13.74
1989-03-01,12.80
1989-04-01,14.02
1989-05-01,13.74
1989-06-01,13.40
1989-07-01,13.13
1989-08-01,13.13
1989-09-01,13.73
1989-10-01,13.23
1989-11-01,13.29
1989-12-01,13.18
1990-01-01,13.51
1990-02-01,13.73
1990-03-01,13.12
1990-04-01,13.23
1990-05-01,12.82
1990-06-01,13.69
1990-07-01,13.45
1990-08-01,14.55
1990-09-01,13.87
1990-10-01,13.98
1990-11-01,13.41
1990-12-01,11.63
1991-01-01,11.75
1991-02-01,11.75
1991-03-01,11.77
1991-04-01,11.11
1991-05-01,10.29
1991-06-01,10.12
1991-07-01,9.98
1991-08-01,9.54
1991-09-01,8.92
1991-10-01,7.96
1991-11-01,8.28
1991-12-01,7.75
1992-01-01,7.31
1992-02-01,7.28
1992-03-01,7.04
1992-04-01,6.81
1992-05-01,6.75
1992-06-01,6.69
1992-07-01,6.18
1992-08-01,6.08
1992-09-01,6.26
1992-10-01,6.15
1992-11-01,6.04
1992-12-01,7.01
1993-01-01,10.07
1993-02-01,7.57
1993-03-01,7.06
1993-04-01,6.91
1993-05-01,6.26
1993-06-01,5.91
1993-07-01,5.26
1993-08-01,5.28
1993-09-01,4.90
1993-10-01,5.12
1993-11-01,5.91
1993-12-01,4.80
1994-01-01,4.54
1994-02-01,4.32
1994-03-01,5.70
1994-04-01,6.50
1994-05-01,5.29
1994-06-01,5.16
1994-07-01,6.39
1994-08-01,5.90
1994-09-01,6.41
1994-10-01,7.13
1994-11-01,7.44
1994-12-01,8.39
1995-01-01,8.41
1995-02-01,8.80
1995-03-01,9.15
1995-04-01,8.99
1995-05-01,8.98
1995-06-01,9.00
1995-07-01,8.87
1995-08-01,9.08
1995-09-01,9.52
1995-10-01,8.87
1995-11-01,8.48
1995-12-01,8.69
1996-01-01,8.78
1996-02-01,8.55
1996-03-01,9.07
1996-04-01,9.28
1996-05-01,9.68
1996-06-01,9.53
1996-07-01,9.86
1996-08-01,9.91
1996-09-01,9.98
1996-10-01,10.00
1996-11-01,9.44
1996-12-01,8.40
1997-01-01,7.63
1997-02-01,7.31
1997-03-01,7.44
1997-04-01,7.15
1997-05-01,6.57
1997-06-01,6.67
1997-07-01,7.77
1997-08-01,8.10
1997-09-01,7.87
1997-10-01,7.34
1997-11-01,7.11
1997-12-01,7.64
1998-01-01,8.66
1998-02-01,8.77
1998-03-01,8.60
1998-04-01,9.16
1998-05-01,8.60
1998-06-01,8.91
1998-07-01,7.10
1998-08-01,5.98
1998-09-01,5.43
1998-10-01,4.07
1998-11-01,3.56
1998-12-01,3.49
1999-01-01,3.35
1999-02-01,3.30
1999-03-01,4.07
1999-04-01,4.50
1999-05-01,4.50
1999-06-01,4.54
1999-07-01,4.51
1999-08-01,4.50
1999-09-01,4.50
1999-10-01,4.50
1999-11-01,4.71
1999-12-01,5.00
2000-01-01,5.12
2000-02-01,5.26
2000-03-01,5.51
2000-04-01,5.82
2000-05-01,6.24
2000-06-01,6.50
2000-07-01,6.50
2000-08-01,6.50
2000-09-01,6.50
2000-10-01,6.50
2000-11-01,6.50
2000-12-01,6.51
2001-01-01,6.50
2001-02-01,6.50
2001-03-01,6.35
2001-04-01,6.15
2001-05-01,5.87
2001-06-01,5.75
2001-07-01,5.75
2001-08-01,5.76
2001-09-01,5.55
2001-10-01,5.25
2001-11-01,4.96
2001-12-01,4.75
2002-01-01,4.75
2002-02-01,4.75
2002-03-01,4.84
2002-04-01,5.11
2002-05-01,5.39
2002-06-01,5.50
2002-07-01,5.73
2002-08-01,5.75
2002-09-01,5.75
2002-10-01,5.75
2002-11-01,5.75
2002-12-01,5.75
2003-01-01,5.75
2003-02-01,5.75
2003-03-01,5.75
2003-04-01,5.70
2003-05-01,5.51
2003-06-01,5.28
2003-07-01,5.19
2003-08-01,5.00
2003-09-01,5.00
2003-10-01,5.00
2003-11-01,5.00
2003-12-01,5.00
2004-01-01,5.03
2004-02-01,5.25
2004-03-01,5.25
2004-04-01,5.28
2004-05-01,5.50
2004-06-01,5.68
2004-07-01,5.77
2004-08-01,6.00
