observation_date,LMUNRRTTCHM156S
1970-01-01,0.00581953
1970-02-01,0.00531064
1970-03-01,0.00470391
1970-04-01,0.00403289
1970-05-01,0.00338819
1970-06-01,0.00294320
1970-07-01,0.00274009
1970-08-01,0.00266015
1970-09-01,0.00265714
1970-10-01,0.00274205
1970-11-01,0.00292094
1970-12-01,0.00316377
1971-01-01,0.00295477
1971-02-01,0.00289543
1971-03-01,0.00268766
1971-04-01,0.00251831
1971-05-01,0.00254526
1971-06-01,0.00277053
1971-07-01,0.00308562
1971-08-01,0.00342404
1971-09-01,0.00377321
1971-10-01,0.00410292
1971-11-01,0.00431560
1971-12-01,0.00434138
1972-01-01,0.00423413
1972-02-01,0.00409900
1972-03-01,0.00401261
1972-04-01,0.00395407
1972-05-01,0.00388666
1972-06-01,0.00380114
1972-07-01,0.00374899
1972-08-01,0.00369668
1972-09-01,0.00353276
1972-10-01,0.00324448
1972-11-01,0.00292898
1972-12-01,0.00270181
1973-01-01,0.00266138
1973-02-01,0.00274876
1973-03-01,0.00285419
1973-04-01,0.00288543
1973-05-01,0.00287102
1973-06-01,0.00282489
1973-07-01,0.00272780
1973-08-01,0.00261263
1973-09-01,0.00254060
1973-10-01,0.00253319
1973-11-01,0.00261046
1973-12-01,0.00269505
1974-01-01,0.00267043
1974-02-01,0.00252890
1974-03-01,0.00237333
1974-04-01,0.00228184
1974-05-01,0.00223700
1974-06-01,0.00228978
1974-07-01,0.00267713
1974-08-01,0.00380666
1974-09-01,0.00598416
1974-10-01,0.00978748
1974-11-01,0.01565552
1974-12-01,0.02544467
1975-01-01,0.04319050
1975-02-01,0.07260734
1975-03-01,0.11486260
1975-04-01,0.17079190
1975-05-01,0.23864500
1975-06-01,0.31890390
1975-07-01,0.41088800
1975-08-01,0.50654210
1975-09-01,0.59069990
1975-10-01,0.65029610
1975-11-01,0.68843350
1975-12-01,0.71775700
1976-01-01,0.74869180
1976-02-01,0.78094800
1976-03-01,0.80515400
1976-04-01,0.81156740
1976-05-01,0.79731670
1976-06-01,0.76599580
1976-07-01,0.72030650
1976-08-01,0.66310110
1976-09-01,0.60420400
1976-10-01,0.55283800
1976-11-01,0.51383700
1976-12-01,0.48375930
1977-01-01,0.46028940
1977-02-01,0.44157050
1977-03-01,0.42760470
1977-04-01,0.41893380
1977-05-01,0.41214780
1977-06-01,0.40222070
1977-07-01,0.38722960
1977-08-01,0.37074390
1977-09-01,0.35711910
1977-10-01,0.34692680
1977-11-01,0.34023310
1977-12-01,0.33730730
1978-01-01,0.33622850
1978-02-01,0.33522610
1978-03-01,0.33400240
1978-04-01,0.33176180
1978-05-01,0.32932360
1978-06-01,0.32964530
1978-07-01,0.33413170
1978-08-01,0.34227690
1978-09-01,0.35186620
1978-10-01,0.36179740
1978-11-01,0.37001760
1978-12-01,0.37497200
1979-01-01,0.37647590
1979-02-01,0.37587200
1979-03-01,0.37459600
1979-04-01,0.37383830
1979-05-01,0.37303320
1979-06-01,0.36946420
1979-07-01,0.36004750
1979-08-01,0.34402860
1979-09-01,0.32261520
1979-10-01,0.29884220
1979-11-01,0.27587290
1979-12-01,0.25676150
1980-01-01,0.24241300
1980-02-01,0.23229850
1980-03-01,0.22416910
1980-04-01,0.21645280
1980-05-01,0.20902420
1980-06-01,0.20253410
1980-07-01,0.19719040
1980-08-01,0.19238180
1980-09-01,0.18783730
1980-10-01,0.18385710
1980-11-01,0.18134000
1980-12-01,0.18000500
1981-01-01,0.17309240
1981-02-01,0.17044700
1981-03-01,0.16670340
1981-04-01,0.16374190
1981-05-01,0.16338110
1981-06-01,0.16621280
1981-07-01,0.17231870
1981-08-01,0.18116990
1981-09-01,0.19282260
1981-10-01,0.20757000
1981-11-01,0.22391760
1981-12-01,0.23984670
1982-01-01,0.25474370
1982-02-01,0.27103430
1982-03-01,0.29198940
1982-04-01,0.31856020
1982-05-01,0.35037250
1982-06-01,0.38593770
1982-07-01,0.42562500
1982-08-01,0.47229560
1982-09-01,0.52547190
1982-10-01,0.58151330
1982-11-01,0.63833090
1982-12-01,0.69496820
1983-01-01,0.74974380
1983-02-01,0.80160160
1983-03-01,0.85075280
1983-04-01,0.89322850
1983-05-01,0.92453700
1983-06-01,0.94588840
1983-07-01,0.95918940
1983-08-01,0.96736480
1983-09-01,0.97278750
1983-10-01,0.97638020
1983-11-01,0.97893350
1983-12-01,0.98758920
1984-01-01,1.01286100
1984-02-01,1.05440200
1984-03-01,1.10373200
1984-04-01,1.15203600
1984-05-01,1.19044500
1984-06-01,1.21401000
1984-07-01,1.22140900
1984-08-01,1.21526800
1984-09-01,1.19906100
1984-10-01,1.17837500
1984-11-01,1.15652200
1984-12-01,1.13212800
1985-01-01,1.10570400
1985-02-01,1.07944000
1985-03-01,1.05287600
1985-04-01,1.02587200
1985-05-01,1.00019600
1985-06-01,0.97742150
1985-07-01,0.95825980
1985-08-01,0.94214650
1985-09-01,0.92800230
1985-10-01,0.91514400
1985-11-01,0.90438490
1985-12-01,0.89570920
1986-01-01,0.88634500
1986-02-01,0.87559810
1986-03-01,0.86327560
1986-04-01,0.84986790
1986-05-01,0.83617510
1986-06-01,0.82368430
1986-07-01,0.81493900
1986-08-01,0.81028340
1986-09-01,0.80833390
1986-10-01,0.80717320
1986-11-01,0.80686210
1986-12-01,0.80850950
1987-01-01,0.81081480
1987-02-01,0.81173630
1987-03-01,0.81136300
1987-04-01,0.81098720
1987-05-01,0.81050060
1987-06-01,0.80872050
1987-07-01,0.80440970
1987-08-01,0.79674030
1987-09-01,0.78724280
1987-10-01,0.77804740
1987-11-01,0.76962690
1987-12-01,0.76280180
1988-01-01,0.75909380
1988-02-01,0.75839640
1988-03-01,0.75814300
