observation_date,OECDULQEUL01GYSAQ
1996-01-01,1.4793895573
1996-04-01,1.1588231290
1996-07-01,1.4892587039
1996-10-01,1.2216555273
1997-01-01,1.9226307911
1997-04-01,1.8580422009
1997-07-01,1.4521133922
1997-10-01,1.3115402030
1998-01-01,0.9649997844
1998-04-01,1.7258909333
1998-07-01,1.5132581236
1998-10-01,1.4599256544
1999-01-01,1.2938477873
1999-04-01,1.0304085790
1999-07-01,0.9016430872
1999-10-01,1.1827961688
2000-01-01,1.9081184727
2000-04-01,1.2135486127
2000-07-01,2.3700977422
2000-10-01,2.1826302277
2001-01-01,2.1522330387
2001-04-01,2.2646514956
2001-07-01,1.4568360335
2001-10-01,1.3907516775
2002-01-01,0.4072863519
2002-04-01,0.4358133872
2002-07-01,0.3626074752
2002-10-01,0.6420408241
2003-01-01,1.0322461949
2003-04-01,1.3375674022
2003-07-01,1.2650906875
2003-10-01,0.8865187139
2004-01-01,0.5495819215
2004-04-01,1.0245986237
2004-07-01,1.6948173152
2004-10-01,1.8669803779
2005-01-01,1.9862375149
2005-04-01,1.4939914065
2005-07-01,0.9997562351
2005-10-01,1.2716232065
2006-01-01,1.6527842008
2006-04-01,1.6536607853
2006-07-01,1.9454136876
2006-10-01,2.2066244243
2007-01-01,2.4388858152
2007-04-01,2.4600420603
2007-07-01,2.1246723342
2007-10-01,1.7631248403
2008-01-01,1.8325310624
2008-04-01,2.0343842995
2008-07-01,2.5048689832
2008-10-01,3.8842289116
2009-01-01,3.1559527717
2009-04-01,2.3189162654
2009-07-01,1.1897540251
2009-10-01,-0.7311786760
2010-01-01,-1.2285234317
2010-04-01,-0.8073491201
2010-07-01,-0.5461897394
2010-10-01,-0.2846092576
2011-01-01,1.0372245478
2011-04-01,1.2014175148
2011-07-01,1.4239592981
2011-10-01,1.0490825433
2012-01-01,1.0383255935
2012-04-01,1.2165494758
2012-07-01,1.4149427406
2012-10-01,2.8651720845
2013-01-01,1.3843789871
2013-04-01,1.3897665996
2013-07-01,0.7999398587
2013-10-01,-0.0784290581
2014-01-01,1.3422118698
2014-04-01,1.1117332326
2014-07-01,1.4169423493
2014-10-01,1.7240275736
2015-01-01,0.8453230421
2015-04-01,1.1064496819
2015-07-01,1.4345138038
2015-10-01,1.1893875756
2016-01-01,1.4526850874
2016-04-01,1.3351735915
2016-07-01,1.4687302853
2016-10-01,1.2693893821
2017-01-01,1.2332010839
2017-04-01,1.2490117548
2017-07-01,1.1351317904
2017-10-01,1.6056568981
2018-01-01,2.2116679436
2018-04-01,2.2434601605
2018-07-01,2.7834294618
2018-10-01,2.8371923804
2019-01-01,2.7887820641
2019-04-01,2.7489716474
2019-07-01,2.0705554442
2019-10-01,2.2897976442
2020-01-01,3.3447380788
2020-04-01,8.2977124968
2020-07-01,3.5060007301
2020-10-01,3.8517371149
2021-01-01,2.0874949496
2021-04-01,-2.5558083094
2021-07-01,3.1804417216
2021-10-01,2.6823750131
2022-01-01,4.3440676755
2022-04-01,5.1259052655
2022-07-01,5.9084029793
2022-10-01,6.6447071694
2023-01-01,6.6376356497
