observation_date,TRESEGEZM052N
1999-01-01,268797409805.134
1999-02-01,258699027886.515
1999-03-01,261519157525.142
1999-04-01,257432398270.488
1999-05-01,251663060302.181
1999-06-01,252737298867.412
1999-07-01,259148672310.136
1999-08-01,257811222323.439
1999-09-01,256143749016.473
1999-10-01,253122385481.733
1999-11-01,248973728548.341
1999-12-01,256780190517.595
2000-01-01,256197257665.441
2000-02-01,254550875008.879
2000-03-01,256904275914.121
2000-04-01,252820096527.845
2000-05-01,252956297707.500
2000-06-01,253694932533.754
2000-07-01,251288824442.022
2000-08-01,248319180618.717
2000-09-01,248347328081.462
2000-10-01,244781473701.971
2000-11-01,239943536525.047
2000-12-01,242327027119.920
2001-01-01,252122022790.460
2001-02-01,247653541942.361
2001-03-01,243540653763.404
2001-04-01,237172756748.540
2001-05-01,238912176543.262
2001-06-01,238659643008.425
2001-07-01,240744376664.249
2001-08-01,240123022135.953
2001-09-01,242145714005.300
2001-10-01,244499689007.114
2001-11-01,242392738316.289
2001-12-01,234931169332.141
2002-01-01,239003311923.221
2002-02-01,236950017985.176
2002-03-01,235633749396.446
2002-04-01,231715483854.267
2002-05-01,232205592511.934
2002-06-01,238565008613.320
2002-07-01,241984341915.123
2002-08-01,241526783532.903
2002-09-01,245963466208.207
2002-10-01,243493079181.747
2002-11-01,242384648994.476
2002-12-01,247168355077.271
2003-01-01,246591645365.925
2003-02-01,241682968065.280
2003-03-01,236442582648.688
2003-04-01,236664670421.739
2003-05-01,238696046947.452
2003-06-01,235517681464.820
2003-07-01,231717560416.471
2003-08-01,230337714957.222
2003-09-01,234124254150.050
2003-10-01,233601934497.309
2003-11-01,228941850042.431
2003-12-01,223145058851.467
2004-01-01,226576066124.226
2004-02-01,215487183463.451
2004-03-01,210808784952.385
2004-04-01,210958471582.857
2004-05-01,211337762115.016
2004-06-01,211735945042.149
2004-07-01,210278249309.867
2004-08-01,205996660916.555
2004-09-01,207719975483.326
2004-10-01,209158268005.114
2004-11-01,212191514371.893
2004-12-01,211970779796.664
2005-01-01,214076869804.840
2005-02-01,206873748544.194
2005-03-01,203801983767.018
2005-04-01,206529623682.475
2005-05-01,200022652337.537
2005-06-01,197945611359.974
2005-07-01,194366899311.103
2005-08-01,195560419854.315
2005-09-01,194737805906.312
2005-10-01,194947468679.880
2005-11-01,192695787101.588
2005-12-01,184713500140.994
2006-01-01,188713610930.997
2006-02-01,185884914736.380
2006-03-01,178391574509.205
2006-04-01,181888185202.296
2006-05-01,186471325963.324
2006-06-01,184273806000.695
2006-07-01,187416873012.317
2006-08-01,188998911163.799
2006-09-01,190991262912.502
2006-10-01,191429574492.496
2006-11-01,194872769353.185
2006-12-01,197005463398.123
2007-01-01,201167515122.714
2007-02-01,203762230729.483
2007-03-01,201391576207.016
2007-04-01,204240254592.053
2007-05-01,202952395889.561
2007-06-01,205930104704.313
2007-07-01,212726373275.147
2007-08-01,212695420950.235
2007-09-01,217614319095.749
2007-10-01,220009353350.310
2007-11-01,222417926111.694
2007-12-01,215295816192.854
2008-01-01,230751703457.582
2008-02-01,226205799531.061
2008-03-01,233700505684.061
2008-04-01,235155056490.958
2008-05-01,229535518169.207
2008-06-01,229526524956.448
2008-07-01,233577153282.338
2008-08-01,224870630233.597
2008-09-01,222699024134.025
2008-10-01,221959751320.337
2008-11-01,219186953223.606
2008-12-01,218716648292.235
2009-01-01,207470577263.527
2009-02-01,202385488315.853
2009-03-01,206750704956.941
2009-04-01,205465072764.511
2009-05-01,213655775807.318
2009-06-01,214397838135.348
2009-07-01,220146492749.581
2009-08-01,278765191914.685
2009-09-01,285204796264.796
2009-10-01,286947906991.648
2009-11-01,287829233997.573
2009-12-01,282776580917.277
2010-01-01,280279114653.525
2010-02-01,283767259304.995
2010-03-01,284905516387.023
2010-04-01,285125160889.334
2010-05-01,282533589211.698
2010-06-01,283879734744.885
2010-07-01,292039349973.610
2010-08-01,294424688953.442
2010-09-01,300143376464.521
2010-10-01,302489614417.863
2010-11-01,296617383514.485
2010-12-01,300242477220.024
2011-01-01,309377429153.054
2011-02-01,309461844318.866
2011-03-01,320013616178.739
2011-04-01,309530946065.772
2011-05-01,319502034566.969
2011-06-01,317123886282.134
2011-07-01,321062659661.828
2011-08-01,319042696874.104
2011-09-01,310876119850.232
2011-10-01,314821685430.642
2011-11-01,311313529222.718
2011-12-01,316705627155.697
2012-01-01,320561590573.803
2012-02-01,322233506583.517
2012-03-01,319751064998.412
2012-04-01,325441757534.200
2012-05-01,322549645348.983
2012-06-01,328712735801.758
2012-07-01,327813376255.089
2012-08-01,331275245939.151
2012-09-01,332770399404.233
2012-10-01,334051118892.045
2012-11-01,334292520493.839
2012-12-01,332540664081.776
2013-01-01,337840255946.781
2013-02-01,331189986472.346
2013-03-01,326734985677.116
2013-04-01,327216852558.023
2013-05-01,324640472357.851
2013-06-01,324856862086.883
2013-07-01,325905801955.521
2013-08-01,327825266842.941
2013-09-01,332522722459.130
2013-10-01,332096801710.176
2013-11-01,329834232820.217
2013-12-01,330961335312.720
2014-01-01,337613929670.567
2014-02-01,339065400864.443
2014-03-01,338771880786.582
2014-04-01,339824525676.190
2014-05-01,340379847791.324
2014-06-01,340257454440.934
2014-07-01,337219438738.713
2014-08-01,337770728716.555
2014-09-01,329427154310.552
2014-10-01,330112635517.448
2014-11-01,329321916367.967
2014-12-01,327597434500.332
2015-01-01,329195867584.731
2015-02-01,333274235845.758
2015-03-01,330929475991.616
2015-04-01,330743325871.068
2015-05-01,325528275709.883
2015-06-01,330337294379.271
2015-07-01,320222409729.305
2015-08-01,322687580784.643
2015-09-01,332253192553.483
2015-10-01,324594839726.669
2015-11-01,323777448857.289
2015-12-01,333872438158.836
2016-01-01,332966723422.347
2016-02-01,335938007869.263
2016-03-01,340660096857.952
2016-04-01,340578403529.195
2016-05-01,341024332885.166
2016-06-01,344268497926.822
2016-07-01,342469821311.600
2016-08-01,344056155695.503
2016-09-01,352396510025.446
2016-10-01,343859991464.295
2016-11-01,340426340714.997
2016-12-01,344413203331.292
2017-01-01,342360249717.640
2017-02-01,344659398808.863
2017-03-01,346031152942.274
2017-04-01,342814562558.933
2017-05-01,345691093566.789
2017-06-01,347977055514.973
2017-07-01,344653803081.861
2017-08-01,344110520850.335
2017-09-01,350717928115.887
2017-10-01,346167454658.767
2017-11-01,353869819535.496
2017-12-01,353249050972.537
2018-01-01,360057129268.133
2018-02-01,358249635290.588
2018-03-01,370174069472.735
2018-04-01,362495673509.383
