observation_date,USAPIEAMP01GPM
1947-02-01,0.2497909431
1947-03-01,1.1673156391
1947-04-01,-0.3846155110
1947-05-01,0.0000000000
1947-06-01,0.0000000000
1947-07-01,0.7722011015
1947-08-01,1.1494258107
1947-09-01,1.8939402221
1947-10-01,0.3717434491
1947-11-01,1.1111116439
1947-12-01,1.4652021129
1948-01-01,1.4440440202
1948-02-01,-0.7117440774
1948-03-01,0.0000000000
1948-04-01,0.3584230592
1948-05-01,0.7142860219
1948-06-01,0.3546101150
1948-07-01,1.4134281636
1948-08-01,1.0452966397
1948-09-01,0.0000000000
1948-10-01,-0.3448277627
1948-11-01,-0.6920418110
1948-12-01,-0.6968644041
1949-01-01,-0.7017546826
1949-02-01,-1.0600711568
1949-03-01,-0.3571429764
1949-04-01,-0.3584231285
1949-05-01,-0.7194247725
1949-06-01,-0.3623190339
1949-07-01,0.0000000000
1949-08-01,0.0000000000
1949-09-01,0.3636365583
1949-10-01,-0.3623190339
1949-11-01,-0.3636364881
1949-12-01,-0.7299273285
1950-01-01,0.0000000000
1950-02-01,0.0000000000
1950-03-01,0.0000000000
1950-04-01,0.0000000000
1950-05-01,0.3676471863
1950-06-01,0.3663005636
1950-07-01,2.1897819856
1950-08-01,2.5000011111
1950-09-01,1.3937288754
1950-10-01,0.3436427205
1950-11-01,1.0273941433
1950-12-01,1.6949160381
1951-01-01,1.6666674246
1951-02-01,0.9836070100
1951-03-01,0.0000000000
1951-04-01,0.0000000000
1951-05-01,0.3246754308
1951-06-01,-0.3236247009
1951-07-01,0.0000000000
1951-08-01,0.0000000000
1951-09-01,0.0000000000
1951-10-01,0.6493509244
1951-11-01,0.0000000000
1951-12-01,-0.3225808121
1952-01-01,-0.3236247009
1952-02-01,-0.3246754935
1952-03-01,0.3257330690
1952-04-01,-0.6493509871
1952-05-01,0.0000000000
1952-06-01,-0.3267974936
1952-07-01,0.9836070100
1952-08-01,0.0000000000
1952-09-01,0.0000000000
1952-10-01,-0.6493509871
1952-11-01,-0.3267974936
1952-12-01,-0.9836070100
1953-01-01,0.3311260030
1953-02-01,-0.3300331774
1953-03-01,0.0000000000
1953-04-01,-0.3311260030
1953-05-01,0.3322260900
1953-06-01,0.0000000000
1953-07-01,0.9933779451
1953-08-01,0.0000000000
1953-09-01,0.3278689611
1953-10-01,-0.3267974936
1953-11-01,-0.3278690245
1953-12-01,-0.3289474780
1954-01-01,0.6600662910
1954-02-01,-0.3278690245
1954-03-01,-0.3289474780
1954-04-01,0.6600662910
1954-05-01,0.0000000000
1954-06-01,-0.6557379856
1954-07-01,0.6600662910
1954-08-01,0.0000000000
1954-09-01,-0.3278690245
1954-10-01,-0.3289474780
1954-11-01,0.3300331136
1954-12-01,-0.3289474780
1955-01-01,0.3300331136
1955-02-01,0.3289475416
1955-03-01,-0.6557379856
1955-04-01,0.3300331136
1955-05-01,-0.3289474780
1955-06-01,0.3300331136
1955-07-01,0.0000000000
1955-08-01,0.3289475416
1955-09-01,0.3278689611
1955-10-01,0.0000000000
1955-11-01,0.0000000000
1955-12-01,0.0000000000
1956-01-01,0.3267975567
1956-02-01,0.3257330690
1956-03-01,0.3246754308
1956-04-01,0.3236247635
1956-05-01,0.6451615618
1956-06-01,0.3205129235
1956-07-01,0.0000000000
1956-08-01,0.3194889820
1956-09-01,0.9554111171
1956-10-01,0.3154575229
1956-11-01,0.3144655785
1956-12-01,0.0000000000
1957-01-01,0.6269595243
1957-02-01,0.3115266465
1957-03-01,-0.3105591719
1957-04-01,0.6230532327
1957-05-01,0.0000000000
1957-06-01,0.3095976881
1957-07-01,0.6172842186
1957-08-01,0.0000000000
1957-09-01,0.3067486283
1957-10-01,0.0000000000
1957-11-01,0.6116210581
1957-12-01,0.3039514683
1958-01-01,0.6060609230
1958-02-01,0.0000000000
1958-03-01,0.6024098935
1958-04-01,-0.5988026471
1958-05-01,0.0000000000
1958-06-01,0.0000000000
1958-07-01,0.0000000000
1958-08-01,0.0000000000
1958-09-01,0.0000000000
1958-10-01,0.0000000000
1958-11-01,0.0000000000
1958-12-01,-0.3012049758
1959-01-01,0.3021149611
