observation_date,XTEXVA01EZM667S
1990-01-01,43904166748.723396
1990-02-01,42967309993.422600
1990-03-01,42571094925.259201
1990-04-01,41897910911.254402
1990-05-01,42832006577.487495
1990-06-01,42782479277.674599
1990-07-01,43194414319.933296
1990-08-01,44932615387.241600
1990-09-01,43862882005.620094
1990-10-01,46210185317.877106
1990-11-01,46384751314.673294
1990-12-01,45733702060.753998
1991-01-01,46806238087.960701
1991-02-01,46835531111.665504
1991-03-01,43280897727.585403
1991-04-01,40936237229.636002
1991-05-01,41223380712.556099
1991-06-01,39401969742.656197
1991-07-01,40262084819.129204
1991-08-01,42049141547.092003
1991-09-01,42791296978.909508
1991-10-01,44073454719.865295
1991-11-01,46492899811.450401
1991-12-01,46906081882.954704
1992-01-01,46231178056.297295
1992-02-01,45601110050.369797
1992-03-01,44417145015.620094
1992-04-01,45591582932.354202
1992-05-01,45066075612.824303
1992-06-01,46018112621.856194
1992-07-01,50297768953.903694
1992-08-01,49568465104.439903
1992-09-01,49954762954.029907
1992-10-01,48205262134.098396
1992-11-01,44786221332.531403
1992-12-01,45918715592.307106
1993-01-01,44133316535.459396
1993-02-01,44605781530.652000
1993-03-01,44506806889.441200
1993-04-01,46503454795.439095
1993-05-01,47446826072.724800
1993-06-01,46756859083.926308
1993-07-01,46101521460.341400
1993-08-01,44822907514.222702
1993-09-01,47959682408.488800
1993-10-01,48212120277.726707
1993-11-01,47322891849.720497
1993-12-01,47950982053.784302
1994-01-01,47312279005.598892
1994-02-01,47835789201.105896
1994-03-01,49511456593.219200
1994-04-01,49693830696.156197
1994-05-01,51609450409.108002
1994-06-01,52922425350.380005
1994-07-01,54436122615.137695
1994-08-01,55298328749.370094
1994-09-01,55309196671.074203
1994-10-01,57682509748.391197
1994-11-01,58102628561.175102
1994-12-01,59203174215.879997
1995-01-01,62071532396.443108
1995-02-01,61576696267.711906
1995-03-01,64149753396.995491
1995-04-01,67474554568.619698
1995-05-01,65549906309.366096
1995-06-01,66545456703.126007
1995-07-01,64801682205.023293
1995-08-01,63469681726.882095
1995-09-01,64094645387.813400
1995-10-01,65898908082.802704
1995-11-01,67155431547.499405
1995-12-01,69657249915.613403
1996-01-01,67825933422.553902
1996-02-01,68507133246.606003
1996-03-01,67142884735.627907
1996-04-01,66191422709.938805
1996-05-01,66082102678.506203
1996-06-01,66940756204.181198
1996-07-01,68045071143.926003
1996-08-01,68585040601.350105
1996-09-01,67516581467.826706
1996-10-01,70378491180.119293
1996-11-01,71742351471.281906
1996-12-01,70171427326.597092
1997-01-01,68789146957.738708
1997-02-01,67467545618.700996
1997-03-01,67029048708.585915
1997-04-01,68995106532.019608
1997-05-01,70017290473.663803
1997-06-01,69055801708.881104
1997-07-01,69315613989.672195
1997-08-01,68126858619.749886
1997-09-01,70386192533.670395
1997-10-01,72118593164.902908
1997-11-01,72671267044.549301
1997-12-01,71413371228.316391
1998-01-01,69851687267.578491
1998-02-01,71180715748.168396
1998-03-01,70530754884.600708
1998-04-01,71729715221.964005
1998-05-01,72452201019.231598
1998-06-01,71430290443.604202
1998-07-01,71606563680.924194
1998-08-01,69551899211.056290
1998-09-01,72617483199.683807
1998-10-01,73674836819.155701
1998-11-01,72874292143.134003
1998-12-01,72379807341.669785
1999-01-01,71157403433.733810
1999-02-01,69165096324.557693
1999-03-01,69694622559.390289
1999-04-01,68723946301.841812
1999-05-01,68574698457.128304
1999-06-01,69164642434.211395
1999-07-01,72062828803.972092
1999-08-01,70537434589.668808
1999-09-01,71825875580.358200
1999-10-01,75517032449.221786
1999-11-01,74058888868.419601
1999-12-01,72897862930.626099
2000-01-01,74251385163.251892
2000-02-01,75258060460.527390
2000-03-01,74999378628.247910
2000-04-01,73313827332.287003
2000-05-01,73944735714.888611
2000-06-01,76753814012.711105
2000-07-01,76753767767.025101
2000-08-01,75397354838.792191
2000-09-01,74827076980.469498
2000-10-01,75563989118.191101
2000-11-01,76237986741.533600
2000-12-01,80603546633.390396
2001-01-01,82665212663.228897
2001-02-01,80085450795.986908
2001-03-01,79383409992.771210
2001-04-01,77874566296.522308
2001-05-01,75671755955.241089
2001-06-01,76505067676.906708
2001-07-01,75278770411.185623
2001-08-01,78665530853.989700
2001-09-01,78132144532.138306
2001-10-01,79241560056.348892
2001-11-01,75673821546.195694
2001-12-01,78964042032.780396
2002-01-01,76607880317.419296
2002-02-01,77135496274.434799
2002-03-01,78815799744.521912
2002-04-01,79513564916.784805
2002-05-01,82186420213.234406
2002-06-01,85715315087.953293
2002-07-01,87324798844.391815
2002-08-01,87649010595.198502
2002-09-01,88150463334.473999
2002-10-01,86928414061.970001
2002-11-01,90043538899.904892
2002-12-01,88712114394.026794
2003-01-01,95457466769.009689
2003-02-01,95156251246.275101
2003-03-01,92816654530.869507
2003-04-01,93215384232.553604
2003-05-01,98435935637.996796
2003-06-01,99212597734.168198
