observation_date,XTIMVA01EZM667S
1990-01-01,44079128760.561295
1990-02-01,43384502300.444801
1990-03-01,43214804353.726997
1990-04-01,43614376931.541801
1990-05-01,44537727735.823296
1990-06-01,44163871106.668098
1990-07-01,44809570437.575203
1990-08-01,49413934413.889801
1990-09-01,48606455338.833000
1990-10-01,52808526979.018997
1990-11-01,53632192287.226601
1990-12-01,52658660105.770493
1991-01-01,55714700453.054001
1991-02-01,53276792917.224800
1991-03-01,49270431678.705299
1991-04-01,48514895595.380798
1991-05-01,48807189808.172707
1991-06-01,45658226238.639801
1991-07-01,47484090053.518105
1991-08-01,47931493194.165298
1991-09-01,49479987884.659508
1991-10-01,48555117343.385696
1991-11-01,51507877723.164803
1991-12-01,51786445256.944893
1992-01-01,52374271619.226601
1992-02-01,51310200085.307907
1992-03-01,49772692781.477798
1992-04-01,50184039720.283905
1992-05-01,50155891123.906403
1992-06-01,51279113989.847404
1992-07-01,55326012560.173599
1992-08-01,53296610619.849503
1992-09-01,52955892439.711403
1992-10-01,51635335219.315598
1992-11-01,47811158402.144203
1992-12-01,49465012469.655693
1993-01-01,45173917776.219101
1993-02-01,45965363680.380096
1993-03-01,44340864837.522194
1993-04-01,47041529721.804199
1993-05-01,44771900685.028305
1993-06-01,45313595439.448097
1993-07-01,44097052609.490486
1993-08-01,44819167126.456200
1993-09-01,45778834186.108704
1993-10-01,45089558124.690804
1993-11-01,44214615109.039886
1993-12-01,44990419106.702003
1994-01-01,45422568186.554497
1994-02-01,46086985408.492599
1994-03-01,47652892627.169006
1994-04-01,48018534951.639305
1994-05-01,49264922834.298286
1994-06-01,49839983858.376495
1994-07-01,53824072433.230095
1994-08-01,54182226075.755905
1994-09-01,53280581933.611694
1994-10-01,54924878705.943695
1994-11-01,55984190912.274803
1994-12-01,59196231728.810600
1995-01-01,55593183804.210495
1995-02-01,57948904712.670403
1995-03-01,61324117490.805603
1995-04-01,61643691130.037697
1995-05-01,62311961685.341400
1995-06-01,63812129538.534401
1995-07-01,63056605066.694603
1995-08-01,60738482275.827202
1995-09-01,61034268082.886597
1995-10-01,62901930507.831902
1995-11-01,63255791275.547401
1995-12-01,64273425644.639008
1996-01-01,62494225046.135803
1996-02-01,64363537736.129997
1996-03-01,62447966193.776207
1996-04-01,62834380954.241501
1996-05-01,61657056246.642700
1996-06-01,61097607176.351501
1996-07-01,62440186351.201904
1996-08-01,62104904140.140198
1996-09-01,63524011741.260895
1996-10-01,63894126680.966202
1996-11-01,66050818122.884094
1996-12-01,66153354358.757401
1997-01-01,66070552437.410301
1997-02-01,62277173582.726402
1997-03-01,62647476919.545906
1997-04-01,64200954806.400604
1997-05-01,64109948351.693115
1997-06-01,62770158239.013802
1997-07-01,63325849131.761398
1997-08-01,62621838605.496803
1997-09-01,65801605314.831085
1997-10-01,66649010673.283401
1997-11-01,66863055485.076492
1997-12-01,66312589396.872894
1998-01-01,65690345721.927803
1998-02-01,65768165957.894691
1998-03-01,65755633510.516006
1998-04-01,65440502772.211906
1998-05-01,65030686421.016403
1998-06-01,67637027094.606194
1998-07-01,65556787243.256203
1998-08-01,64487059023.024498
1998-09-01,69297751292.462387
1998-10-01,71014890980.224197
1998-11-01,69027669538.146896
1998-12-01,69191323612.182297
1999-01-01,68761659104.225098
1999-02-01,67319263959.610100
1999-03-01,68400035571.427597
1999-04-01,66660938467.632309
1999-05-01,68044229261.274193
1999-06-01,66163278028.387398
1999-07-01,68484504229.138397
1999-08-01,68452958233.098099
1999-09-01,73171009132.998093
1999-10-01,74555750075.907990
1999-11-01,73674070570.995789
1999-12-01,73998349163.176407
2000-01-01,76810962518.031006
2000-02-01,76973142829.705109
2000-03-01,77630382413.044098
2000-04-01,74485834394.301788
2000-05-01,77348947326.387909
2000-06-01,80525505430.509201
2000-07-01,79796438315.478790
2000-08-01,78753568984.138489
2000-09-01,78622791979.796310
2000-10-01,78799714929.892090
2000-11-01,80328092211.939606
2000-12-01,85335002335.196503
2001-01-01,83047006435.307388
2001-02-01,80970298266.816498
2001-03-01,79996719108.649994
2001-04-01,77732411178.262894
2001-05-01,75390030316.302399
2001-06-01,75669422110.900192
2001-07-01,73125391482.724091
2001-08-01,75394594629.351196
2001-09-01,74427876906.269608
2001-10-01,74014247635.612091
2001-11-01,72254137493.117203
2001-12-01,72606635427.235809
2002-01-01,71266418615.621796
2002-02-01,72024422146.716995
2002-03-01,72557090595.761490
2002-04-01,75762785353.799301
2002-05-01,75634435192.419907
2002-06-01,79200486643.604492
2002-07-01,79629449642.222000
2002-08-01,78930780979.488098
2002-09-01,80038036036.939011
2002-10-01,82277425420.068710
2002-11-01,83674293695.419189
2002-12-01,84315845481.273697
2003-01-01,90981650219.913925
2003-02-01,91287862034.660187
2003-03-01,92153319947.019104
2003-04-01,91072194469.096603
2003-05-01,94379514168.952896
2003-06-01,94333245646.113785
2003-07-01,90293365648.030090
2003-08-01,88233828592.604309
2003-09-01,91709753084.794800
2003-10-01,96943373320.894592
2003-11-01,98195151525.307510
2003-12-01,105706098825.031006
2004-01-01,104897576455.951996
2004-02-01,107597445166.348999
2004-03-01,104759680431.024994
2004-04-01,106850869399.968994
2004-05-01,106116310824.016998
2004-06-01,109932274837.804001
2004-07-01,110231900425.207993
2004-08-01,110563264819.235992
2004-09-01,113980752727.789993
2004-10-01,118453324446.214996
2004-11-01,124556690249.231003
2004-12-01,123347278388.891006
2005-01-01,122063474181.804001
2005-02-01,121910163803.602997
2005-03-01,127751033705.619995
2005-04-01,129275702070.272003
2005-05-01,125028008526.380005
2005-06-01,121289083078.800995
2005-07-01,124844072522.445007
2005-08-01,132672732764.384003
2005-09-01,131555104999.479004
2005-10-01,130398108949.309006
2005-11-01,132270854786.729004
2005-12-01,135272143749.608994
2006-01-01,136897006506.675018
2006-02-01,138120986821.625000
2006-03-01,138208445520.091003
2006-04-01,145732585391.414001
2006-05-01,152058284718.234009
2006-06-01,149118707542.630005
2006-07-01,150225914438.444977
2006-08-01,153891090971.153992
2006-09-01,152934923024.634003
2006-10-01,151386289525.516998
2006-11-01,154751703060.439026
2006-12-01,164976195543.061005
2007-01-01,157368576288.089996
2007-02-01,164682948350.750977
2007-03-01,160316836003.956024
2007-04-01,167804757400.031006
2007-05-01,167708350873.207977
2007-06-01,166223264090.091003
2007-07-01,174510270888.595001
2007-08-01,172974279274.738983
2007-09-01,177817454989.942017
2007-10-01,182916344561.640015
2007-11-01,190531947797.746002
2007-12-01,195392299827.260010
