symbol,timeframe,strategy,data_source,bars_total,bars_research,bars_holdout,range_start,range_end,params,wf_mode,folds,is_return,oos_return,oos_max_dd,oos_daily_dd,oos_sharpe,oos_trades,oos_gates_pass,oos_profitable,overfit_oos_weaker,anchored_oos_return,anchored_gates_pass,holdout_return,holdout_max_dd,holdout_daily_dd,holdout_sharpe,holdout_trades,holdout_gates_pass,holdout_profitable_and_gates,ftmo_golive_candidate,baseline_oos_return,baseline_gates_pass,meaningful
USDJPY,H4,macd_trend,approximate_non_ftmo,4435,2852,1583,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 12, ""exit_on_cross"": true, ""hold_while_hist"": false, ""max_hold"": 24, ""require_htf_align"": false, ""session_hours"": null}",rolling,23,0.0034306252666228697,-0.0013740896014507525,0.04527455452666634,0.022506446436495315,-1.0633831089698405,126,True,False,True,-0.0013740896014507525,True,0.141809623291705,0.07687084924404287,0.021082578238015993,1.9575803515325272,140,True,True,False,-0.004119599770318843,True,True
GBPUSD,D1,macd_trend,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_min"": 22, ""exit_on_cross"": true, ""hold_while_hist"": false, ""max_hold"": 24, ""require_htf_align"": false, ""session_hours"": null}",rolling,21,-0.05836062587707741,-0.008939539672966842,0.07575519297670315,0.0242770526962282,-1.2784348652966773,33,True,False,False,-0.008939539672966842,True,0.02016063245435573,0.041002092295160164,0.0246913771493097,0.8082792325880536,11,True,True,False,-0.01447137654190921,True,True
XAUUSD,H4,macd_trend,approximate_non_ftmo,3714,2172,1542,2024-04-24 04:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 12, ""exit_on_cross"": true, ""hold_while_hist"": false, ""max_hold"": 24, ""require_htf_align"": true, ""session_hours"": null}",rolling,16,0.0328145771907252,0.0,0.0,0.0,0.0,0,True,False,True,0.0,True,0.32345522779017766,0.07560201989664991,0.02746963459821418,2.8070752577905136,25,True,True,False,-0.005188395486886967,True,False
AUDUSD,H4,macd_trend,approximate_non_ftmo,4452,2863,1589,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 22, ""exit_on_cross"": true, ""hold_while_hist"": false, ""max_hold"": 0, ""require_htf_align"": false, ""session_hours"": null}",rolling,23,-0.01369023965746914,-0.00018198384356075175,0.033421536789834595,0.014032122677394364,0.22963783761450704,84,True,False,False,-0.00018198384356075175,True,-0.052165024269655746,0.05908610270356571,0.012036305664607498,-1.1748704969490416,108,True,False,False,-0.001977021926915787,True,True
EURUSD,D1,macd_trend,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_min"": 22, ""exit_on_cross"": true, ""hold_while_hist"": false, ""max_hold"": 24, ""require_htf_align"": false, ""session_hours"": null}",rolling,21,-0.041107757694092556,-0.0029277426397001133,0.06460480001309755,0.023235307296371466,-0.1874380403207065,48,True,False,False,-0.0029277426397001133,True,-0.024594053971427776,0.06142151873098504,0.011861140213012695,-1.3560102937732916,10,True,False,False,-0.00945855909017102,True,True
USDJPY,D1,macd_trend,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_min"": 22, ""exit_on_cross"": true, ""hold_while_hist"": false, ""max_hold"": 0, ""require_htf_align"": false, ""session_hours"": null}",rolling,21,-0.055685189808211175,-0.0076383915902760325,0.07419146241210227,0.04651207886241784,-1.5894689996849518,50,True,False,False,-0.0076383915902760325,True,-0.04771572543398539,0.05718260211675079,0.020551804092699605,-2.317058139649765,12,True,False,False,-0.009949647444076273,True,True
EURUSD,H4,macd_trend,approximate_non_ftmo,4437,2852,1585,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 18, ""exit_on_cross"": true, ""hold_while_hist"": false, ""max_hold"": 24, ""require_htf_align"": true, ""session_hours"": null}",rolling,23,0.006758957897209677,0.0,0.0,0.0,0.0,0,True,False,True,0.0,True,-0.016648488804955175,0.040046242634920605,0.008933223822457367,-0.45133592510603393,55,True,False,False,-0.0022015038401446622,True,False
GBPUSD,H4,macd_trend,approximate_non_ftmo,4437,2851,1586,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 12, ""exit_on_cross"": true, ""hold_while_hist"": false, ""max_hold"": 24, ""require_htf_align"": true, ""session_hours"": null}",rolling,23,0.0077345824433565444,0.0,0.0,0.0,0.0,0,True,False,True,0.0,True,-0.011463133667530045,0.06999687558623088,0.015668506235395036,-0.21091016636844517,61,True,False,False,-0.0060223299946987946,True,False
XAUUSD,D1,macd_trend,approximate_non_ftmo,6536,6284,252,2000-08-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 12, ""exit_on_cross"": true, ""hold_while_hist"": true, ""max_hold"": 0, ""require_htf_align"": true, ""session_hours"": null}",rolling,68,0.004853958113879834,0.0,0.0,0.0,0.0,0,True,False,True,0.0,True,0.0,0.0,0.0,0.0,0,True,False,False,0.002460226528494459,True,False
AUDUSD,D1,macd_trend,approximate_non_ftmo,5290,5030,260,2006-05-16 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 18, ""exit_on_cross"": true, ""hold_while_hist"": true, ""max_hold"": 0, ""require_htf_align"": true, ""session_hours"": null}",rolling,53,-0.01098493467424579,0.0,0.0,0.0,0.0,0,True,False,False,0.0,True,0.0,0.0,0.0,0.0,0,True,False,False,-0.007585408227354781,True,False
