add_set,extras,clock,h4_share,max_k,recycle_cap,vt,n_legs,mean_mo,pct_pos,top3,gates,p2t,score
none,[],oos_sharpe,,,1.0,0.0025,5,0.004216856681389925,0.5454545454545454,0.7412750869651012,True,0.07423982950324844,0.03086655985669115
none,[],oos_sharpe,,,1.0,,5,0.0017558280001806633,0.7272727272727273,0.6709769409491662,True,0.03467484404540295,0.020743761089509705
none,[],oos_sharpe,,,1.5,0.0025,5,0.008589209702536516,0.7272727272727273,0.759422993151661,True,0.08045987401602941,0.08018710331821267
none,[],oos_sharpe,,,1.5,,5,0.004557882790191385,0.7272727272727273,0.6873270181336927,True,0.04671526928097545,0.047456302814854794
none,[],oos_sharpe,,,2.0,0.0025,5,0.009658361100913459,0.6363636363636364,0.7794833623750232,True,0.07349387844163685,0.08272229629632236
none,[],oos_sharpe,,,2.0,,5,0.00671652898737947,0.8181818181818182,0.6929234353702725,True,0.05170791825630206,0.07314050595326382
none,[],oos_sharpe,,2.0,1.0,0.0025,5,0.00689119267151547,0.6363636363636364,0.7270979275313383,True,0.07303825930202267,0.06306227433082945
none,[],oos_sharpe,,2.0,1.0,,5,0.002828598277300895,0.6363636363636364,0.6907755663829481,True,0.027425810033654532,0.025342119280554912
none,[],oos_sharpe,,2.0,1.5,0.0025,5,0.007566720393155485,0.5454545454545454,0.7549338954394246,True,0.07614418485831018,0.06190661144896854
none,[],oos_sharpe,,2.0,1.5,,5,0.004226299813012247,0.6363636363636364,0.6926053263271651,True,0.040940914145423245,0.03917275384213108
none,[],oos_sharpe,,2.0,2.0,0.0025,5,0.008086337504733804,0.6363636363636364,0.7543010908770291,True,0.07368435958186041,0.07153486920416474
none,[],oos_sharpe,,2.0,2.0,,5,0.005916557404995456,0.6363636363636364,0.6886579763932033,True,0.051161056861654605,0.05639111775668012
none,[],oos_sharpe,,3.0,1.0,0.0025,5,0.00732342759408748,0.7272727272727273,0.7286434918674025,True,0.07093472266810048,0.07180643295511896
none,[],oos_sharpe,,3.0,1.0,,5,0.002971890171886593,0.7272727272727273,0.6875772248863056,True,0.02968376728102496,0.031576360091597845
none,[],oos_sharpe,,3.0,1.5,0.0025,5,0.00870391896214685,0.7272727272727273,0.7687372242143705,True,0.07541688150606762,0.0796576343230283
none,[],oos_sharpe,,3.0,1.5,,5,0.004506627672593092,0.7272727272727273,0.6994708764602057,True,0.042257882042766495,0.045972242972750835
none,[],oos_sharpe,,3.0,2.0,0.0025,5,0.009577487492258518,0.6363636363636364,0.7883164155810974,True,0.0670054190708895,0.08032361063267958
none,[],oos_sharpe,,3.0,2.0,,5,0.006665204852906054,0.8181818181818182,0.7021322009539743,True,0.04740795709167951,0.0718905633618335
none,[],oos_sharpe,,4.0,1.0,0.0025,5,0.006970377518454408,0.7272727272727273,0.7187020374228099,True,0.08842461080056824,-1000000000.0
none,[],oos_sharpe,,4.0,1.0,,5,0.002933654657478665,0.7272727272727273,0.6745414005414873,True,0.03585460046158973,0.03223687089510403
