idea,family,soft_pass,hard_pass,promote,score,min_is_mo,max_is_top3,min_is_pct_pos,mo_2024,mo_2025_IS,pos_2024,pos_2025_IS,top3_2024,top3_2025_IS,mo_2025,mo_2026,pos_2025,pos_2026,top3_2025,top3_2026,mo_holdout,pos_holdout,top3_holdout,gates_holdout,note
baseline_locked,baseline,False,False,False,-inf,0.004216856681389925,0.7412750869651012,0.5454545454545454,0.004216856681389925,0.023302682604721847,0.5454545454545454,0.75,0.7412750869651012,0.6969790447140385,0.016277853185413717,0.023011327609662083,0.7272727272727273,0.875,0.6925774266330262,0.8680846676945262,0.01523243086152203,0.75,0.8139578289205267,True,is_fail
lock+dddepth_pb42_hb126_p0.2_c0.35,dddepth,False,False,False,-inf,0.0053994324073632005,0.8106023031884686,0.5454545454545454,0.0053994324073632005,0.019146071019010932,0.5454545454545454,0.75,0.8106023031884686,0.6333208108116838,0.013486804507403654,0.017003855460271597,0.7272727272727273,0.75,0.5896351083277028,0.8527643733645579,0.011721170818669616,0.6666666666666666,0.7695800235409728,True,is_fail
lock+dddepth_pb42_hb126_p0.2_c0.5,dddepth,False,False,False,-inf,0.005126627983392484,0.7821256276907071,0.5454545454545454,0.005126627983392484,0.020108579645805022,0.5454545454545454,0.75,0.7821256276907071,0.6497491714250673,0.014133429430581794,0.018384997303703493,0.7272727272727273,0.875,0.6153624009227974,0.8581373566286208,0.012529965025631529,0.6666666666666666,0.7826068056823329,True,is_fail
lock+dddepth_pb42_hb126_p0.2_c0.65,dddepth,False,False,False,-inf,0.004853766029397446,0.7536799950496575,0.5454545454545454,0.004853766029397446,0.021069114795944047,0.5454545454545454,0.75,0.7536799950496575,0.6650479476803935,0.014778532991533281,0.019769275709146508,0.7272727272727273,0.875,0.6398329920117128,0.8614481607801914,0.013339669337165969,0.75,0.7933731061525868,True,is_fail
lock+dddepth_pb42_hb252_p0.2_c0.35,dddepth,False,False,False,-inf,0.0048855667492025264,0.8146416062501034,0.5454545454545454,0.0048855667492025264,0.018966890876098333,0.5454545454545454,0.75,0.8146416062501034,0.6378093614447637,0.013356491676194378,0.01131853735959927,0.7272727272727273,0.75,0.6111458025131763,0.7764746158259964,0.007481002079339892,0.6666666666666666,0.7107695123272579,True,is_fail
lock+dddepth_pb42_hb252_p0.2_c0.5,dddepth,False,False,False,-inf,0.004730255899067726,0.7847670292579056,0.5454545454545454,0.004730255899067726,0.01997074080430304,0.5454545454545454,0.75,0.7847670292579056,0.6536997877669408,0.014033183000398545,0.014011087729730351,0.7272727272727273,0.875,0.6322634071438176,0.8089071291880884,0.00926652353799128,0.6666666666666666,0.7374946324577841,True,is_fail
lock+dddepth_pb42_hb252_p0.2_c0.65,dddepth,False,False,False,-inf,0.004575546144977622,0.7552018946113049,0.5454545454545454,0.004575546144977622,0.02097262676976465,0.5454545454545454,0.75,0.7552018946113049,0.6680973519195754,0.014708359881584638,0.01670710046788429,0.7272727272727273,0.875,0.6518625705501406,0.8317497939266679,0.011053998655084468,0.75,0.7630251595759369,True,is_fail
lock+dddepth_pb63_hb126_p0.2_c0.35,dddepth,False,False,False,-inf,0.00353446922462714,0.7150544306821017,0.5454545454545454,0.00353446922462714,0.019642425387526072,0.5454545454545454,0.75,0.7150544306821017,0.650717848075183,0.013670752559329398,0.012407443126245393,0.7272727272727273,0.75,0.6009780974576798,0.785984861616439,0.008481417965956547,0.6666666666666666,0.6951791802272984,True,is_fail
lock+dddepth_pb63_hb126_p0.2_c0.5,dddepth,False,False,False,-inf,0.0036978478632004974,0.7079940411144662,0.5454545454545454,0.0036978478632004974,0.020489905351371393,0.5454545454545454,0.75,0.7079940411144662,0.6627170562145639,0.014274615982672444,0.014853316574905365,0.7272727272727273,0.75,0.6163867599970915,0.815070427504069,0.01004327118213616,0.6666666666666666,0.7297993647537413,True,is_fail
lock+dddepth_pb63_hb126_p0.2_c0.65,dddepth,False,False,False,-inf,0.003857676040090756,0.7113381251543844,0.5454545454545454,0.003857676040090756,0.02133569896852275,0.5454545454545454,0.75,0.7113381251543844,0.6738524322749014,0.014877142289473648,0.017299903937062017,0.7272727272727273,0.75,0.6407320881222449,0.8377234082450632,0.011602777009133295,0.6666666666666666,0.7620026102058179,True,is_fail
lock+dddepth_pb63_hb252_p0.2_c0.35,dddepth,False,False,False,-inf,0.00367832836462446,0.8518863643939529,0.5454545454545454,0.00367832836462446,0.02049117293535606,0.5454545454545454,0.75,0.8518863643939529,0.6572737401723956,0.014268147365136557,0.012814695690272118,0.7272727272727273,0.75,0.5937902770764991,0.7704254009066807,0.009237585613830618,0.6666666666666666,0.6855157139681436,True,is_fail
lock+dddepth_pb63_hb252_p0.2_c0.5,dddepth,False,False,False,-inf,0.0038045145863239856,0.8105679294782799,0.5454545454545454,0.0038045145863239856,0.021142853393456965,0.5454545454545454,0.75,0.8105679294782799,0.6674314107462955,0.014734186811608884,0.015160212081794244,0.7272727272727273,0.75,0.617794722768691,0.8040766052697005,0.01062231254779536,0.6666666666666666,0.725228079929252,True,is_fail
lock+dddepth_pb63_hb252_p0.2_c0.65,dddepth,False,False,False,-inf,0.003929554128139082,0.7714031344057648,0.5454545454545454,0.003929554128139082,0.02179281048211336,0.5454545454545454,0.75,0.7714031344057648,0.6769453012898706,0.015198868895604815,0.017510228730501787,0.7272727272727273,0.75,0.6415294284323854,0.8306278069263455,0.012006217558649326,0.6666666666666666,0.7585345648839453,True,is_fail
lock+dddepth_pb126_hb126_p0.2_c0.35,dddepth,False,False,False,-inf,0.005231758808328177,0.760999672904496,0.6363636363636364,0.005231758808328177,0.017491514602172617,0.6363636363636364,0.75,0.760999672904496,0.667945174167568,0.01239226684675443,0.01219285775172474,0.7272727272727273,0.75,0.6246762786770044,0.7994740496494349,0.009696801264635402,0.6666666666666666,0.7076484400271628,True,is_fail
lock+dddepth_pb126_hb126_p0.2_c0.5,dddepth,False,False,False,-inf,0.004999794424945459,0.7492035302535258,0.5454545454545454,0.004999794424945459,0.018834790864310683,0.5454545454545454,0.75,0.7492035302535258,0.6761115974003096,0.013290706867135455,0.014689326920842488,0.7272727272727273,0.75,0.643061790851977,0.8240884887701124,0.010978176384416264,0.6666666666666666,0.7328395429531528,True,is_fail
