idea,family,soft_pass,hard_pass,promote,score,min_is_mo,max_is_top3,min_is_pct_pos,mo_2024,mo_2025_IS,pos_2024,pos_2025_IS,top3_2024,top3_2025_IS,mo_2025,mo_2026,pos_2025,pos_2026,top3_2025,top3_2026,mo_holdout,pos_holdout,top3_holdout,gates_holdout,note
baseline_locked,baseline,False,False,False,-inf,0.004216856681389925,0.7412750869651012,0.5454545454545454,0.004216856681389925,0.023302682604721847,0.5454545454545454,0.75,0.7412750869651012,0.6969790447140385,0.016277853185413717,0.023011327609662083,0.7272727272727273,0.875,0.6925774266330262,0.8680846676945262,0.01523243086152203,0.75,0.8139578289205267,True,is_fail
lock+mesurp_sd15_s0.008_c0.35,month_end_surplus,False,False,False,-inf,0.007512590727620712,0.6556417764283593,0.7272727272727273,0.007512590727620712,0.018317811038932943,0.7272727272727273,0.75,0.5291476384038594,0.6556417764283593,0.012035918214903574,0.018147051909293346,0.7272727272727273,0.875,0.6411512969356741,0.7838271359934192,0.014022218785165796,0.75,0.7290309278068554,True,soft_mean_fail
lock+mesurp_sd15_s0.008_c0.5,month_end_surplus,False,False,False,-inf,0.0067525047181912915,0.6666445254673623,0.7272727272727273,0.0067525047181912915,0.019466537578990986,0.7272727272727273,0.75,0.5561591891684069,0.6666445254673623,0.013013894936121878,0.01926078242114443,0.7272727272727273,0.875,0.6553172511643611,0.8061424351137855,0.01429422302281283,0.75,0.7434081973278635,True,soft_mean_fail
lock+mesurp_sd15_s0.008_c0.65,month_end_surplus,False,False,False,-inf,0.005992134640277732,0.6765601636240796,0.7272727272727273,0.005992134640277732,0.020616243585192567,0.7272727272727273,0.75,0.5869890415432267,0.6765601636240796,0.013992433056662796,0.020379801471373082,0.7272727272727273,0.875,0.6679151350782213,0.826567306440029,0.014570599515594215,0.75,0.7573519331567972,True,soft_mean_fail
lock+mesurp_sd18_s0.008_c0.35,month_end_surplus,False,False,False,-inf,0.0076009880099688395,0.6382511886820388,0.7272727272727273,0.0076009880099688395,0.017613622735618853,0.7272727272727273,0.75,0.527554687498875,0.6382511886820388,0.01152378126703865,0.017067600424920268,0.7272727272727273,0.875,0.6242504025011852,0.7741371122577974,0.012831787734419425,0.75,0.687757185542877,True,soft_mean_fail
lock+mesurp_sd18_s0.008_c0.5,month_end_surplus,False,False,False,-inf,0.006819315934800643,0.6543820398231894,0.7272727272727273,0.006819315934800643,0.018920549053683386,0.7272727272727273,0.75,0.5600185175286749,0.6543820398231894,0.012616812372261725,0.018418803177655305,0.7272727272727273,0.875,0.6435261134274022,0.7963628378135179,0.013369817653133192,0.75,0.7133714972524973,True,soft_mean_fail
lock+mesurp_sd18_s0.008_c0.65,month_end_surplus,False,False,False,-inf,0.006038066085612859,0.6686450442272263,0.7272727272727273,0.006038066085612859,0.020231021729249177,0.7272727272727273,0.75,0.5991759831163974,0.6686450442272263,0.013712271706885675,0.01978221552110769,0.7272727272727273,0.875,0.6603750877565511,0.8166532865829885,0.013917391305695572,0.75,0.7374501713523143,True,soft_mean_fail
lock+mesurp_sd20_s0.008_c0.35,month_end_surplus,False,False,False,-inf,0.00724480431968672,0.6399756914324746,0.7272727272727273,0.00724480431968672,0.018310701777780283,0.7272727272727273,0.75,0.5674831573241106,0.6399756914324746,0.011939405818566895,0.016249274861980675,0.7272727272727273,0.875,0.6241599043940947,0.7870414287609261,0.011704616642494595,0.75,0.7162324916404339,True,soft_mean_fail
lock+mesurp_sd20_s0.008_c0.5,month_end_surplus,False,False,False,-inf,0.006545161674537518,0.6552720649550754,0.7272727272727273,0.006545161674537518,0.019458609188734335,0.7272727272727273,0.75,0.5934802247496592,0.6552720649550754,0.012937615175424326,0.017788086002781908,0.7272727272727273,0.875,0.6431239413539798,0.8097997901135989,0.012502123383941641,0.75,0.735146911574998,True,soft_mean_fail
lock+mesurp_sd20_s0.008_c0.65,month_end_surplus,False,False,False,-inf,0.005846044852099264,0.6690246225841938,0.7272727272727273,0.005846044852099264,0.02060896086987629,0.7272727272727273,0.75,0.6229316993239343,0.6690246225841938,0.013937601356889463,0.019339845964781763,0.7272727272727273,0.875,0.6599179089224719,0.8297854255062156,0.013309555216284555,0.75,0.7525683553825081,True,soft_mean_fail
lock+mesurp_sd22_s0.008_c0.35,month_end_surplus,False,False,False,-inf,0.008157979594058184,0.6510921432462707,0.7272727272727273,0.008157979594058184,0.019420357394625873,0.7272727272727273,0.75,0.5657534246360608,0.6510921432462707,0.012615665754745133,0.01604087084767894,0.7272727272727273,0.875,0.63262761302882,0.8057675613128599,0.011014130781677392,0.75,0.7126454753344851,True,soft_mean_fail
lock+mesurp_sd22_s0.008_c0.5,month_end_surplus,False,False,False,-inf,0.007244558674806404,0.6629338540274179,0.7272727272727273,0.007244558674806404,0.020311355350290022,0.7272727272727273,0.75,0.5905185484351569,0.6629338540274179,0.013457000590304736,0.01762973358394737,0.7272727272727273,0.875,0.648777652769997,0.8233696594890423,0.01197355816137105,0.75,0.7402244463226724,True,soft_mean_fail
lock+mesurp_sd22_s0.008_c0.65,month_end_surplus,False,False,False,-inf,0.006333491779186144,0.6738569718035341,0.7272727272727273,0.006333491779186144,0.021205299314781365,0.7272727272727273,0.75,0.6193879465543863,0.6738569718035341,0.01430060138084492,0.019230377217719655,0.7272727272727273,0.875,0.6633782616309122,0.8387571759447353,0.012941370130326174,0.75,0.7649939499142584,True,soft_mean_fail
lock+mesurp_sd15_s0.005_c0.35_nested,month_end_surplus_nested,False,False,False,-inf,0.007309830041138479,0.6277607380086638,0.7272727272727273,0.007309830041138479,0.019065107282481494,0.7272727272727273,0.75,0.47953503528527963,0.6277607380086638,0.012579406392029662,0.018206243065759048,0.7272727272727273,0.875,0.6151402079542753,0.8249045286950503,0.01383927419751127,0.75,0.6939623753365701,True,soft_mean_fail
lock+mesurp_sd18_s0.005_c0.35_nested,month_end_surplus_nested,False,False,False,-inf,0.00786934641459222,0.6439313864265342,0.7272727272727273,0.00786934641459222,0.01739738902400055,0.7272727272727273,0.75,0.5157448661013447,0.6439313864265342,0.011366520385861794,0.01696338531576308,0.7272727272727273,0.875,0.6293733594511295,0.7724708571743778,0.012803904228432842,0.75,0.6586914468738272,True,soft_mean_fail
lock+mesurp_sd15_s0.005_c0.5_nested,month_end_surplus_nested,False,False,False,-inf,0.0065956719240652635,0.6460764096889547,0.7272727272727273,0.0065956719240652635,0.020038623971217473,0.7272727272727273,0.75,0.5229801680874547,0.6460764096889547,0.01342995776683203,0.019307192184623415,0.7272727272727273,0.875,0.6361697514884058,0.836244899744278,0.01415568044474407,0.75,0.723301677740492,True,soft_mean_fail
wrebal_0.328_0.029_0.241_0.178_0.224_frozen,frozen_wrebal,False,False,False,-inf,0.006769618032487818,0.6958784580518973,0.75,0.006769618032487818,0.0243676891658543,0.8181818181818182,0.75,0.5885922377094076,0.6958784580518973,0.016666625756131506,0.025405474688400334,0.7272727272727273,0.75,0.6810340909209204,0.8388814346841589,0.017163387825917753,0.6666666666666666,0.7746512243164507,True,soft_mean_fail
wrebal_0.328_0.029_0.241_0.178_0.224+mtd_t0.015_a0.5_frozen,frozen_wrebal_mtd,True,False,False,0.009990097705796347,0.011839665771880366,0.642478403304201,0.75,0.011839665771880366,0.0173718230170202,0.8181818181818182,0.75,0.45382781689881296,0.642478403304201,0.011065056115305212,0.02407556115187995,0.7272727272727273,0.75,0.6076157640127245,0.8028795988803513,0.016864883387390405,0.6666666666666666,0.7119219329373,True,holdout_fail
wrebal_0.328_0.029_0.241_0.178_0.224+mtd_t0.015_a0.65_frozen,frozen_wrebal_mtd,True,False,False,0.008080931927998185,0.010316447683369024,0.661775787768542,0.75,0.010316447683369024,0.019464992389269034,0.8181818181818182,0.75,0.48070198611052833,0.661775787768542,0.01274069556030022,0.024476730618863476,0.7272727272727273,0.75,0.6279880160404249,0.8141188140354769,0.01695564741097012,0.6666666666666666,0.7310676601846638,True,holdout_fail
