start,end,n_months,mean_mo,pct_pos,top3,tstat_ols,tstat_nw,ann_sharpe,strategy,window,role,gates_pass,clears_1pct_bar
2011-09-18,2026-09-15,180,6.871451104053085e-05,0.2222222222222222,0.26196105798469177,0.1769531410207988,0.20060255136571373,0.045724758742184776,acm_tp_usd,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.0013634073703680276,0.36363636363636365,0.9247535947797323,0.8302631870225836,0.7041757162328174,0.8552406778643717,acm_tp_usd,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.000779109626959767,0.0,,-1.0021070624593897,-1.0012754186547346,-0.5496373134061155,acm_tp_usd,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.00032964843095310836,0.625,0.8600494935934119,0.1185939590633711,0.22982867484787994,-0.753118672649511,acm_tp_usd,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.0012986143109230408,0.4166666666666667,0.8600494935934119,-0.5465145816188924,-0.7779057560963291,-0.633853118274089,acm_tp_usd,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,0.000401515331992397,0.31666666666666665,0.17824540738709946,0.9373794291806637,1.0533500613102513,0.24468930902770497,acm_tp_lvl_usd,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.0018885159607030218,0.45454545454545453,0.8490733261999703,1.0279138489736808,0.9082891083273855,1.0242825789082797,acm_tp_lvl_usd,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.0021060959342557735,0.09090909090909091,1.0,-2.243038436699296,-1.3377526681456002,-1.108152941252867,acm_tp_lvl_usd,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.0007051893950754673,0.625,0.8107994524135148,0.24144922616276296,0.5354495542996043,-0.5369952674583924,acm_tp_lvl_usd,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.0009699652126955541,0.4166666666666667,0.8107994524135181,-0.40434784941805235,-0.6889698683709078,-0.4623478549749627,acm_tp_lvl_usd,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,-0.0001350794759551435,0.16666666666666666,0.2701073388876602,-0.34892571107258175,-0.3947325130271538,-0.0910265553421419,acm_tp_stress_fx,full_sample,eval,True,False
2024-01-01,2024-12-31,11,-0.0014297305932347319,0.18181818181818182,1.0,-0.8794619631922654,-0.7420054893420857,-0.8993879046243056,acm_tp_stress_fx,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.0007336776207399577,0.09090909090909091,1.0,0.9622398721140077,0.9765982472687433,0.5175437348499833,acm_tp_stress_fx,year_2025,eval,True,False
2026-01-01,2026-12-31,8,-0.00045072106132613976,0.375,1.0,-0.1622289272392453,-0.31586235005986524,0.702795907463748,acm_tp_stress_fx,year_2026,eval,True,False
2025-09-15,2026-09-15,12,0.0012258259217128957,0.3333333333333333,0.9019491771863112,0.5138110101961962,0.7469764530301333,0.5915248349572597,acm_tp_stress_fx,holdout_365d,confirm_only,True,False
