Date,OIL_ME_VS_NON
1960-01-02 00:00:00+00:00,-116.84
1960-01-03 00:00:00+00:00,-141.95
1960-01-04 00:00:00+00:00,-60.56
1960-01-05 00:00:00+00:00,-70.97
1960-01-06 00:00:00+00:00,-99.32
1960-01-07 00:00:00+00:00,-81.91
1960-01-08 00:00:00+00:00,-79.71
1960-01-09 00:00:00+00:00,-129.97
1960-01-10 00:00:00+00:00,-109.94
1960-01-11 00:00:00+00:00,-35.31999999999999
1960-01-12 00:00:00+00:00,-117.77
1960-01-13 00:00:00+00:00,-129.88
1960-01-14 00:00:00+00:00,-98.52
1960-01-15 00:00:00+00:00,-82.74
1960-01-16 00:00:00+00:00,-136.56
1960-01-17 00:00:00+00:00,-138.56
1960-01-18 00:00:00+00:00,-63.85
1960-01-19 00:00:00+00:00,-152.79
1960-01-20 00:00:00+00:00,-118.86
1960-01-21 00:00:00+00:00,-181.23
1960-01-22 00:00:00+00:00,-109.98
1960-01-23 00:00:00+00:00,-126.4
1960-01-24 00:00:00+00:00,-133.59
1960-01-25 00:00:00+00:00,-62.01
1960-01-26 00:00:00+00:00,-181.44
1960-01-27 00:00:00+00:00,-175.73
1960-01-28 00:00:00+00:00,-163.43
1960-01-29 00:00:00+00:00,-136.47
1960-01-30 00:00:00+00:00,-173.18
1960-01-31 00:00:00+00:00,-186.71
1960-02-01 00:00:00+00:00,-87.64
1960-02-02 00:00:00+00:00,-216.43
1960-02-03 00:00:00+00:00,-104.93999999999998
1960-02-04 00:00:00+00:00,-11.990000000000009
1960-02-05 00:00:00+00:00,-112.09
1960-02-06 00:00:00+00:00,-127.97
1960-02-07 00:00:00+00:00,-164.27
1960-02-08 00:00:00+00:00,-78.2
1960-02-09 00:00:00+00:00,-152.69
1960-02-10 00:00:00+00:00,-158.74
1960-02-11 00:00:00+00:00,-155.13
1960-02-12 00:00:00+00:00,-140.17
1960-02-13 00:00:00+00:00,-17.24000000000001
1960-02-14 00:00:00+00:00,-76.01
1960-02-15 00:00:00+00:00,-90.48
1960-02-16 00:00:00+00:00,-185.2
1960-02-17 00:00:00+00:00,-126.9
1960-02-18 00:00:00+00:00,-10.299999999999983
1960-02-19 00:00:00+00:00,-124.85
1960-02-20 00:00:00+00:00,-103.33000000000001
1960-02-21 00:00:00+00:00,-114.85
1960-02-22 00:00:00+00:00,-55.09
1960-02-23 00:00:00+00:00,-136.89
1960-02-24 00:00:00+00:00,-161.33
1960-02-25 00:00:00+00:00,-104.4
1960-02-26 00:00:00+00:00,-134.58
1960-02-27 00:00:00+00:00,-136.35
1960-02-28 00:00:00+00:00,-62.09000000000002
1960-02-29 00:00:00+00:00,-66.89
1960-03-01 00:00:00+00:00,-118.7
1960-03-02 00:00:00+00:00,-144.02
1960-03-03 00:00:00+00:00,-123.28
1960-03-04 00:00:00+00:00,-92.37
1960-03-05 00:00:00+00:00,-91.01
1960-03-06 00:00:00+00:00,-133.32
1960-03-07 00:00:00+00:00,-60.96
1960-03-08 00:00:00+00:00,-97.81
1960-03-09 00:00:00+00:00,-77.44
1960-03-10 00:00:00+00:00,-135.83
1960-03-11 00:00:00+00:00,-28.770000000000003
1960-03-12 00:00:00+00:00,-105.26
1960-03-13 00:00:00+00:00,-128.82
1960-03-14 00:00:00+00:00,-61.68
1960-03-15 00:00:00+00:00,-168.34
1960-03-16 00:00:00+00:00,-163.98
1960-03-17 00:00:00+00:00,-105.73
1960-03-18 00:00:00+00:00,-76.29
1960-03-19 00:00:00+00:00,-114.48
1960-03-20 00:00:00+00:00,-145.63
1960-03-21 00:00:00+00:00,-69.47
1960-03-22 00:00:00+00:00,-138.74
1960-03-23 00:00:00+00:00,-129.34
1960-03-24 00:00:00+00:00,-135.43
1960-03-25 00:00:00+00:00,-120.4
1960-03-26 00:00:00+00:00,-137.63
1960-03-27 00:00:00+00:00,-172.37
1960-03-28 00:00:00+00:00,-73.4
1960-03-29 00:00:00+00:00,-165.25
1960-03-30 00:00:00+00:00,-112.53
1960-03-31 00:00:00+00:00,-129.45
1960-04-01 00:00:00+00:00,-133.06
1960-04-02 00:00:00+00:00,-125.94
1960-04-03 00:00:00+00:00,-134.77
1960-04-04 00:00:00+00:00,-70.64
1960-04-05 00:00:00+00:00,-114.42
1960-04-06 00:00:00+00:00,-133.92
1960-04-07 00:00:00+00:00,-122.73
1960-04-08 00:00:00+00:00,-102.65
1960-04-09 00:00:00+00:00,-107.78
1960-04-10 00:00:00+00:00,-123.21
1960-04-11 00:00:00+00:00,-74.15
1960-04-12 00:00:00+00:00,-147.66
1960-04-13 00:00:00+00:00,-142.73
1960-04-14 00:00:00+00:00,-149.57
