,USD,EUR,GBP,JPY,CAD,AUD,NZD,CHF
1948-03-01 00:00:00+00:00,47.1,,,,,,,
1948-04-01 00:00:00+00:00,47.1,,,,,,,
1948-05-01 00:00:00+00:00,47.1,,,,,,,
1948-06-01 00:00:00+00:00,47.6,,,,,,,
1948-07-01 00:00:00+00:00,47.6,,,,,,,
1948-08-01 00:00:00+00:00,47.6,,,,,,,
1948-09-01 00:00:00+00:00,47.9,,,,,,,
1948-10-01 00:00:00+00:00,47.9,,,,,,,
1948-11-01 00:00:00+00:00,47.9,,,,,,,
1948-12-01 00:00:00+00:00,48.0,,,,,,,
1949-01-01 00:00:00+00:00,48.0,,,,,,,
1949-02-01 00:00:00+00:00,48.0,,,,,,,
1949-03-01 00:00:00+00:00,48.6,,,,,,,
1949-04-01 00:00:00+00:00,48.6,,,,,,,
1949-05-01 00:00:00+00:00,48.6,,,,,,,
1949-06-01 00:00:00+00:00,49.2,,,,,,,
1949-07-01 00:00:00+00:00,49.2,,,,,,,
1949-08-01 00:00:00+00:00,49.2,,,,,,,
1949-09-01 00:00:00+00:00,50.2,,,,,,,
1949-10-01 00:00:00+00:00,50.2,,,,,,,
1949-11-01 00:00:00+00:00,50.2,,,,,,,
1949-12-01 00:00:00+00:00,51.5,,,,,,,
1950-01-01 00:00:00+00:00,51.5,,,,,,,
1950-02-01 00:00:00+00:00,51.5,,,,,,,
1950-03-01 00:00:00+00:00,52.9,,,,,,,
1950-04-01 00:00:00+00:00,52.9,,,,,,,
1950-05-01 00:00:00+00:00,52.9,,,,,,,
1950-06-01 00:00:00+00:00,54.7,,,,,,,
1950-07-01 00:00:00+00:00,54.7,,,,,,,
1950-08-01 00:00:00+00:00,54.7,,,,,,,
1950-09-01 00:00:00+00:00,55.8,,,,,,,
1950-10-01 00:00:00+00:00,55.8,,,,,,,
1950-11-01 00:00:00+00:00,55.8,,,,,,,
1950-12-01 00:00:00+00:00,56.1,,,,,,,
1951-01-01 00:00:00+00:00,56.1,,,,,,,
1951-02-01 00:00:00+00:00,56.1,,,,,,,
1951-03-01 00:00:00+00:00,55.7,,,,,,,
1951-04-01 00:00:00+00:00,55.7,,,,,,,
1951-05-01 00:00:00+00:00,55.7,,,,,,,
1951-06-01 00:00:00+00:00,54.8,,,,,,,
