,USD,EUR,GBP,JPY,CAD,AUD,CHF
1999-06-01 00:00:00+00:00,16.3,14.0,13.9,20.0,21.0,16.5,17.0
1999-07-01 00:00:00+00:00,16.3,14.0,13.9,20.0,21.0,16.5,17.0
1999-08-01 00:00:00+00:00,16.3,14.0,13.9,20.0,21.0,16.5,17.0
1999-09-01 00:00:00+00:00,16.5,14.2,14.0,19.6,20.6,16.4,17.2
1999-10-01 00:00:00+00:00,16.5,14.2,14.0,19.6,20.6,16.4,17.2
1999-11-01 00:00:00+00:00,16.5,14.2,14.0,19.6,20.6,16.4,17.2
1999-12-01 00:00:00+00:00,16.8,14.3,14.1,19.5,20.2,16.6,17.2
2000-01-01 00:00:00+00:00,16.8,14.3,14.1,19.5,20.2,16.6,17.2
2000-02-01 00:00:00+00:00,16.8,14.3,14.1,19.5,20.2,16.6,17.2
2000-03-01 00:00:00+00:00,17.0,14.5,14.7,19.6,19.7,17.1,17.1
2000-04-01 00:00:00+00:00,17.0,14.5,14.7,19.6,19.7,17.1,17.1
2000-05-01 00:00:00+00:00,17.0,14.5,14.7,19.6,19.7,17.1,17.1
2000-06-01 00:00:00+00:00,17.3,15.0,14.9,19.1,20.4,17.5,16.7
2000-07-01 00:00:00+00:00,17.3,15.0,14.9,19.1,20.4,17.5,16.7
2000-08-01 00:00:00+00:00,17.3,15.0,14.9,19.1,20.4,17.5,16.7
2000-09-01 00:00:00+00:00,17.5,15.2,15.4,18.7,20.6,18.0,16.8
2000-10-01 00:00:00+00:00,17.5,15.2,15.4,18.7,20.6,18.0,16.8
2000-11-01 00:00:00+00:00,17.5,15.2,15.4,18.7,20.6,18.0,16.8
2000-12-01 00:00:00+00:00,17.6,15.3,15.7,18.6,20.8,18.0,16.7
2001-01-01 00:00:00+00:00,17.6,15.3,15.7,18.6,20.8,18.0,16.7
2001-02-01 00:00:00+00:00,17.6,15.3,15.7,18.6,20.8,18.0,16.7
2001-03-01 00:00:00+00:00,17.6,15.7,15.6,18.5,20.3,18.2,16.9
2001-04-01 00:00:00+00:00,17.6,15.7,15.6,18.5,20.3,18.2,16.9
2001-05-01 00:00:00+00:00,17.6,15.7,15.6,18.5,20.3,18.2,16.9
2001-06-01 00:00:00+00:00,17.5,15.6,15.8,18.4,20.3,17.9,17.6
2001-07-01 00:00:00+00:00,17.5,15.6,15.8,18.4,20.3,17.9,17.6
2001-08-01 00:00:00+00:00,17.5,15.6,15.8,18.4,20.3,17.9,17.6
2001-09-01 00:00:00+00:00,17.4,15.4,15.5,18.2,20.3,17.2,17.3
2001-10-01 00:00:00+00:00,17.4,15.4,15.5,18.2,20.3,17.2,17.3
2001-11-01 00:00:00+00:00,17.4,15.4,15.5,18.2,20.3,17.2,17.3
2001-12-01 00:00:00+00:00,17.2,15.3,15.6,18.2,20.0,17.3,17.0
2002-01-01 00:00:00+00:00,17.2,15.3,15.6,18.2,20.0,17.3,17.0
2002-02-01 00:00:00+00:00,17.2,15.3,15.6,18.2,20.0,17.3,17.0
2002-03-01 00:00:00+00:00,17.0,15.1,15.5,18.4,19.9,16.6,16.7
2002-04-01 00:00:00+00:00,17.0,15.1,15.5,18.4,19.9,16.6,16.7
2002-05-01 00:00:00+00:00,17.0,15.1,15.5,18.4,19.9,16.6,16.7
2002-06-01 00:00:00+00:00,16.8,15.0,15.6,18.2,20.3,16.4,16.8
2002-07-01 00:00:00+00:00,16.8,15.0,15.6,18.2,20.3,16.4,16.8
2002-08-01 00:00:00+00:00,16.8,15.0,15.6,18.2,20.3,16.4,16.8
2002-09-01 00:00:00+00:00,16.6,15.1,15.5,18.0,20.0,17.1,16.5
2002-10-01 00:00:00+00:00,16.6,15.1,15.5,18.0,20.0,17.1,16.5
2002-11-01 00:00:00+00:00,16.6,15.1,15.5,18.0,20.0,17.1,16.5
2002-12-01 00:00:00+00:00,16.5,15.1,16.0,17.7,20.1,17.6,16.2
2003-01-01 00:00:00+00:00,16.5,15.1,16.0,17.7,20.1,17.6,16.2
2003-02-01 00:00:00+00:00,16.5,15.1,16.0,17.7,20.1,17.6,16.2
2003-03-01 00:00:00+00:00,16.3,15.3,16.0,17.7,20.1,17.7,16.1
2003-04-01 00:00:00+00:00,16.3,15.3,16.0,17.7,20.1,17.7,16.1
2003-05-01 00:00:00+00:00,16.3,15.3,16.0,17.7,20.1,17.7,16.1
2003-06-01 00:00:00+00:00,16.2,15.2,15.7,17.5,19.2,17.8,16.1
2003-07-01 00:00:00+00:00,16.2,15.2,15.7,17.5,19.2,17.8,16.1
2003-08-01 00:00:00+00:00,16.2,15.2,15.7,17.5,19.2,17.8,16.1
2003-09-01 00:00:00+00:00,16.2,15.2,15.7,17.2,19.3,17.8,16.1
2003-10-01 00:00:00+00:00,16.2,15.2,15.7,17.2,19.3,17.8,16.1
2003-11-01 00:00:00+00:00,16.2,15.2,15.7,17.2,19.3,17.8,16.1
2003-12-01 00:00:00+00:00,16.0,15.2,15.8,17.0,19.2,18.0,16.1
2004-01-01 00:00:00+00:00,16.0,15.2,15.8,17.0,19.2,18.0,16.1
2004-02-01 00:00:00+00:00,16.0,15.2,15.8,17.0,19.2,18.0,16.1
2004-03-01 00:00:00+00:00,15.9,15.1,15.8,16.9,18.9,18.3,16.1
2004-04-01 00:00:00+00:00,15.9,15.1,15.8,16.9,18.9,18.3,16.1
2004-05-01 00:00:00+00:00,15.9,15.1,15.8,16.9,18.9,18.3,16.1
2004-06-01 00:00:00+00:00,15.9,14.7,16.1,16.5,19.4,18.9,16.3
2004-07-01 00:00:00+00:00,15.9,14.7,16.1,16.5,19.4,18.9,16.3
2004-08-01 00:00:00+00:00,15.9,14.7,16.1,16.5,19.4,18.9,16.3
2004-09-01 00:00:00+00:00,15.9,14.4,16.2,16.1,19.3,18.9,15.7
2004-10-01 00:00:00+00:00,15.9,14.4,16.2,16.1,19.3,18.9,15.7
2004-11-01 00:00:00+00:00,15.9,14.4,16.2,16.1,19.3,18.9,15.7
2004-12-01 00:00:00+00:00,16.0,14.2,16.6,15.8,19.2,19.3,15.6
2005-01-01 00:00:00+00:00,16.0,14.2,16.6,15.8,19.2,19.3,15.6
2005-02-01 00:00:00+00:00,16.0,14.2,16.6,15.8,19.2,19.3,15.6
2005-03-01 00:00:00+00:00,16.1,13.9,16.9,15.8,19.0,19.6,15.5
2005-04-01 00:00:00+00:00,16.1,13.9,16.9,15.8,19.0,19.6,15.5
2005-05-01 00:00:00+00:00,16.1,13.9,16.9,15.8,19.0,19.6,15.5
2005-06-01 00:00:00+00:00,16.3,13.8,17.0,15.8,19.0,19.7,15.4
2005-07-01 00:00:00+00:00,16.3,13.8,17.0,15.8,19.0,19.7,15.4
2005-08-01 00:00:00+00:00,16.3,13.8,17.0,15.8,19.0,19.7,15.4
2005-09-01 00:00:00+00:00,16.6,13.9,17.3,15.6,19.5,20.1,15.4
2005-10-01 00:00:00+00:00,16.6,13.9,17.3,15.6,19.5,20.1,15.4
2005-11-01 00:00:00+00:00,16.6,13.9,17.3,15.6,19.5,20.1,15.4
2005-12-01 00:00:00+00:00,16.8,13.9,17.6,15.7,19.0,20.5,15.2
2006-01-01 00:00:00+00:00,16.8,13.9,17.6,15.7,19.0,20.5,15.2
2006-02-01 00:00:00+00:00,16.8,13.9,17.6,15.7,19.0,20.5,15.2
2006-03-01 00:00:00+00:00,17.1,13.8,17.8,15.7,18.5,20.8,15.4
2006-04-01 00:00:00+00:00,17.1,13.8,17.8,15.7,18.5,20.8,15.4
2006-05-01 00:00:00+00:00,17.1,13.8,17.8,15.7,18.5,20.8,15.4
2006-06-01 00:00:00+00:00,17.2,13.8,17.8,15.6,18.9,21.0,14.9
2006-07-01 00:00:00+00:00,17.2,13.8,17.8,15.6,18.9,21.0,14.9
2006-08-01 00:00:00+00:00,17.2,13.8,17.8,15.6,18.9,21.0,14.9
2006-09-01 00:00:00+00:00,17.4,13.8,18.1,15.4,18.5,21.5,14.8
2006-10-01 00:00:00+00:00,17.4,13.8,18.1,15.4,18.5,21.5,14.8
2006-11-01 00:00:00+00:00,17.4,13.8,18.1,15.4,18.5,21.5,14.8
2006-12-01 00:00:00+00:00,17.6,13.9,18.7,15.5,19.2,22.1,14.9
2007-01-01 00:00:00+00:00,17.6,13.9,18.7,15.5,19.2,22.1,14.9
2007-02-01 00:00:00+00:00,17.6,13.9,18.7,15.5,19.2,22.1,14.9
2007-03-01 00:00:00+00:00,17.9,13.8,18.9,15.4,19.6,22.6,15.4
2007-04-01 00:00:00+00:00,17.9,13.8,18.9,15.4,19.6,22.6,15.4
2007-05-01 00:00:00+00:00,17.9,13.8,18.9,15.4,19.6,22.6,15.4
2007-06-01 00:00:00+00:00,18.1,13.6,18.9,15.3,20.1,22.8,16.2
2007-07-01 00:00:00+00:00,18.1,13.6,18.9,15.3,20.1,22.8,16.2
2007-08-01 00:00:00+00:00,18.1,13.6,18.9,15.3,20.1,22.8,16.2
2007-09-01 00:00:00+00:00,18.3,13.6,19.0,15.1,20.5,22.9,16.4
2007-10-01 00:00:00+00:00,18.3,13.6,19.0,15.1,20.5,22.9,16.4
2007-11-01 00:00:00+00:00,18.3,13.6,19.0,15.1,20.5,22.9,16.4
2007-12-01 00:00:00+00:00,18.5,13.5,19.5,15.1,20.4,23.5,16.5
2008-01-01 00:00:00+00:00,18.5,13.5,19.5,15.1,20.4,23.5,16.5
2008-02-01 00:00:00+00:00,18.5,13.5,19.5,15.1,20.4,23.5,16.5
2008-03-01 00:00:00+00:00,18.5,13.6,19.6,15.2,20.5,24.0,16.7
2008-04-01 00:00:00+00:00,18.5,13.6,19.6,15.2,20.5,24.0,16.7
2008-05-01 00:00:00+00:00,18.5,13.6,19.6,15.2,20.5,24.0,16.7
2008-06-01 00:00:00+00:00,18.4,13.5,19.6,15.0,20.6,24.5,16.7
2008-07-01 00:00:00+00:00,18.4,13.5,19.6,15.0,20.6,24.5,16.7
2008-08-01 00:00:00+00:00,18.4,13.5,19.6,15.0,20.6,24.5,16.7
2008-09-01 00:00:00+00:00,18.1,13.5,19.3,15.0,20.0,24.9,17.1
2008-10-01 00:00:00+00:00,18.1,13.5,19.3,15.0,20.0,24.9,17.1
2008-11-01 00:00:00+00:00,18.1,13.5,19.3,15.0,20.0,24.9,17.1
2008-12-01 00:00:00+00:00,17.9,13.5,19.3,15.0,20.0,24.4,17.2
2009-01-01 00:00:00+00:00,17.9,13.5,19.3,15.0,20.0,24.4,17.2
2009-02-01 00:00:00+00:00,17.9,13.5,19.3,15.0,20.0,24.4,17.2
2009-03-01 00:00:00+00:00,17.5,13.8,19.6,15.3,20.3,23.4,16.9
2009-04-01 00:00:00+00:00,17.5,13.8,19.6,15.3,20.3,23.4,16.9
2009-05-01 00:00:00+00:00,17.5,13.8,19.6,15.3,20.3,23.4,16.9
