beta,alpha,tstat_ols,tstat_nw,nw_lags,n,r2,mean_y,horizon,tstat,currency,regressor,scope
-0.0036452565525270917,-0.0012817405575096831,-0.17468744222711652,-0.17977897692432077,4.0,180,0.00017140714529462198,-0.00133349691618876,1,-0.17977897692432077,AUD,commodity_mom,currency
-0.00016163107500461883,-0.001328915244133865,-0.10314733186314005,-0.10318689824015352,4.0,180,5.9768180755925826e-05,-0.00133349691618876,1,-0.10318689824015352,AUD,commodity_z,currency
-0.008290395703585975,-0.00169720324196458,-1.3087676015404601,-1.718434815525087,4.0,180,0.009531162736029275,-0.0018570403740942457,1,-1.718434815525087,CAD,commodity_mom,currency
-0.00020499060360291643,-0.0018553428809715148,-0.18259812643042925,-0.1625512929058392,4.0,180,0.0001872799520985513,-0.0018570403740942457,1,-0.1625512929058392,CAD,commodity_z,currency
-0.037071806509638136,-0.0008758220922328924,-1.5190495724311803,-1.8942499866959301,4.0,180,0.012797645439073912,-0.001096412488499514,1,-1.8942499866959301,NZD,commodity_mom,currency
-0.0016160236975927638,-0.0010357698969243995,-0.9552402583576352,-1.2552527248751797,4.0,180,0.005100169261727405,-0.001096412488499514,1,-1.2552527248751797,NZD,commodity_z,currency
-0.01118932658539981,-0.0012819240812974749,,,,540,0.004224106372466951,-0.0014289832595941732,1,-1.5106983564502874,POOLED,commodity_mom,pooled
-0.03098141873764315,-0.00438868028660198,-0.9311386735702424,-0.7482341619184342,4.0,178,0.004902096689341051,-0.004800730810899096,3,-0.7482341619184342,AUD,commodity_mom,currency
0.0011337424194225575,-0.00481627382215345,0.4524513350391591,0.3265800580497824,4.0,178,0.001161786242890428,-0.004800730810899096,3,0.3265800580497824,AUD,commodity_z,currency
-0.008897885593106072,-0.005686761837225797,-0.8393499263076915,-0.7983190113479505,4.0,178,0.003986928831501424,-0.00588133679286908,3,-0.7983190113479505,CAD,commodity_mom,currency
-0.001616933956847677,-0.005876494437302344,-0.8690512481430962,-0.5335482771702915,4.0,178,0.0042728579297749425,-0.00588133679286908,3,-0.5335482771702915,CAD,commodity_z,currency
-0.06730772232197015,-0.0029690199278866896,-1.8146129659065704,-1.1932868242683938,4.0,178,0.01836559998369469,-0.0034103541428856608,3,-1.1932868242683938,NZD,commodity_mom,currency
-0.005161972076958662,-0.0032859947294419504,-2.0151343261205703,-1.5267848963171426,4.0,178,0.022552199652221883,-0.0034103541428856608,3,-1.5267848963171426,NZD,commodity_z,currency
-0.01951201383185288,-0.004426097987581161,,,,534,0.005194788902514125,-0.004697473915551279,3,-1.666751069254295,POOLED,commodity_mom,pooled
