ccy,code,field,n,start,end
EUR,099741,lev_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
EUR,099741,nc_net_oi,1456,1986-01-18 00:00:00+00:00,2026-09-18 00:00:00+00:00
EUR,099741,am_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
GBP,096742,lev_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
GBP,096742,nc_net_oi,1880,1988-05-02 00:00:00+00:00,2026-09-18 00:00:00+00:00
GBP,096742,am_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
JPY,097741,lev_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
JPY,097741,nc_net_oi,1935,1986-01-18 00:00:00+00:00,2026-09-18 00:00:00+00:00
JPY,097741,am_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
CAD,090741,lev_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
CAD,090741,nc_net_oi,1935,1986-01-18 00:00:00+00:00,2026-09-18 00:00:00+00:00
CAD,090741,am_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
CHF,092741,lev_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
CHF,092741,nc_net_oi,1933,1986-01-18 00:00:00+00:00,2026-09-18 00:00:00+00:00
CHF,092741,am_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
AUD,232741,lev_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
AUD,232741,nc_net_oi,1798,1987-02-02 00:00:00+00:00,2026-09-18 00:00:00+00:00
AUD,232741,am_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
NZD,112741,lev_net_oi,1055,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
NZD,112741,nc_net_oi,1154,1999-01-08 00:00:00+00:00,2026-09-18 00:00:00+00:00
NZD,112741,am_net_oi,1055,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
DX,098662,lev_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
DX,098662,nc_net_oi,1716,1992-06-01 00:00:00+00:00,2026-09-18 00:00:00+00:00
DX,098662,am_net_oi,1058,2006-06-16 00:00:00+00:00,2026-09-18 00:00:00+00:00
