time,dollar_beta_xs,dollar_beta_xs_36m,dollar_beta_afd,dollar_rx_tsmom,dollar_ew
2011-09-15 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-18 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-19 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-20 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-21 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-22 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-25 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-26 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-27 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-28 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-09-29 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-02 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-03 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-04 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-05 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-06 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-09 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-10 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-11 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-12 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-13 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-16 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-17 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-18 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-19 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-20 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-23 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-24 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-25 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-26 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-27 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-10-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-25 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-11-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-12-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-12-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-12-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-12-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2011-12-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
