,USD,JPY,CAD,AUD,EUR,GBP,NZD,CHF
1955-04-01 00:00:00+00:00,60753000.0,39460000.0,5267127.0,,,,,
1955-05-01 00:00:00+00:00,60727000.0,40260000.0,5301090.0,,,,,
1955-06-01 00:00:00+00:00,60964000.0,40390000.0,5302315.0,,,,,
1955-07-01 00:00:00+00:00,61515000.0,40630000.0,5317071.0,,,,,
1955-08-01 00:00:00+00:00,61634000.0,40970000.0,5335259.0,,,,,
1955-09-01 00:00:00+00:00,61781000.0,40970000.0,5346478.0,,,,,
1955-10-01 00:00:00+00:00,62513000.0,40860000.0,5365256.0,,,,,
1955-11-01 00:00:00+00:00,62797000.0,41010000.0,5403367.0,,,,,
1955-12-01 00:00:00+00:00,62950000.0,41440000.0,5384681.0,,,,,
1956-01-01 00:00:00+00:00,62991000.0,41360000.0,5409541.0,,,,,
1956-02-01 00:00:00+00:00,63257000.0,41590000.0,5431853.0,,,,,
1956-03-01 00:00:00+00:00,63684000.0,41640000.0,5492836.0,,,,,
1956-04-01 00:00:00+00:00,63753000.0,41570000.0,5512572.0,,,,,
1956-05-01 00:00:00+00:00,63518000.0,41270000.0,5527406.0,,,,,
1956-06-01 00:00:00+00:00,63411000.0,41260000.0,5574719.0,,,,,
1956-07-01 00:00:00+00:00,63614000.0,41640000.0,5553297.0,,,,,
1956-08-01 00:00:00+00:00,63861000.0,41710000.0,5536669.0,,,,,
1956-09-01 00:00:00+00:00,63820000.0,42010000.0,5558318.0,,,,,
1956-10-01 00:00:00+00:00,63800000.0,41810000.0,5580484.0,,,,,
1956-11-01 00:00:00+00:00,63972000.0,41840000.0,5602654.0,,,,,
1956-12-01 00:00:00+00:00,64079000.0,41710000.0,5582708.0,,,,,
1957-01-01 00:00:00+00:00,63975000.0,41800000.0,5627638.0,,,,,
1957-02-01 00:00:00+00:00,63796000.0,41860000.0,5672075.0,,,,,
1957-03-01 00:00:00+00:00,63910000.0,42140000.0,5687511.0,,,,,
1957-04-01 00:00:00+00:00,63632000.0,42930000.0,5715324.0,,,,,
1957-05-01 00:00:00+00:00,64257000.0,42970000.0,5713492.0,,,,,
1957-06-01 00:00:00+00:00,64404000.0,42740000.0,5729801.0,,,,,
