start,end,n_months,mean_mo,pct_pos,top3,tstat_ols,tstat_nw,ann_sharpe,strategy,window,role,gates_pass,clears_1pct_bar
2011-09-18,2026-09-15,180,-0.0005023527518344494,0.49444444444444446,0.12000818038354295,-1.0244030374485162,-1.086900521076614,-0.25946482088162626,high_lfp_xs,full_sample,eval,False,False
2024-01-01,2024-12-31,11,-0.0017590332671992533,0.36363636363636365,0.9763343447335529,-0.9273242319780068,-0.96930883049027,-1.1621468208924572,high_lfp_xs,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.0006709735026578082,0.36363636363636365,0.9483460918328258,-0.4496131510301186,-0.4482695153054226,-0.1499936592470139,high_lfp_xs,year_2025,eval,True,False
2026-01-01,2026-12-31,8,-0.0008753945159612753,0.375,1.0,-0.5693211801317525,-0.7249419188741834,-0.1917539922707768,high_lfp_xs,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.0017152917616869063,0.3333333333333333,0.8886196243427317,-1.3319677717811549,-1.2637457416337974,-0.7464771537369539,high_lfp_xs,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,0.0004692585684585927,0.5055555555555555,0.10075831065706974,0.953928638958777,1.0121025976875333,0.2505129584613699,low_lfp_xs,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.0017133166381776623,0.6363636363636364,0.6035991828620757,0.8929104021607761,0.9374773747602152,1.1402917104597465,low_lfp_xs,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.0006183056549328966,0.6363636363636364,0.7069595250836658,0.4133780081883226,0.4104273799381415,0.1443068114950447,low_lfp_xs,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.0008556343133484801,0.625,0.7137234969621855,0.5575075923618068,0.7137466588066377,0.1917539922707768,low_lfp_xs,year_2026,eval,True,False
2025-09-15,2026-09-15,12,0.0016940971226690749,0.6666666666666666,0.4817132004244321,1.3156236929567546,1.2543140043898815,0.7464771537369539,low_lfp_xs,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,-0.0005167959809960419,0.4388888888888889,0.11952578787426046,-0.8928946243266156,-0.9266914421742388,-0.18376472337563293,high_lfp_z_xs,full_sample,eval,False,False
2024-01-01,2024-12-31,11,-0.0014156226250611698,0.36363636363636365,0.9666073725455638,-0.6559988429384467,-0.924952503385947,-1.0612824577549274,high_lfp_z_xs,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.0013421349767096323,0.36363636363636365,0.9645178904556228,-0.6982487933073284,-0.8523469396742692,-0.19588714683787997,high_lfp_z_xs,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.002127950774055795,0.5,0.9806166311603273,0.7674947079322972,1.085015896464563,0.7411287266033751,high_lfp_z_xs,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.0004066690553388245,0.3333333333333333,0.9806166311603336,-0.18340964829047343,-0.21178351533697526,0.026955278459880997,high_lfp_z_xs,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,-0.0007016551048177049,0.4444444444444444,0.1310457207565111,-1.1098389659877854,-1.1420365170448874,-0.22632212576725994,lfp_chg_xs,full_sample,eval,False,False
2024-01-01,2024-12-31,11,-0.0008711796371369793,0.36363636363636365,0.9835118487331019,-0.3166396943947868,-0.3596025119770404,-0.05437373451006878,lfp_chg_xs,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.0008249596003453329,0.36363636363636365,0.8625964295215045,-0.4151089872994258,-0.502661418769352,-0.20676450636180915,lfp_chg_xs,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.0003207020837198288,0.375,1.0,0.11785095104785735,0.18070876694104138,-0.3597864529653944,lfp_chg_xs,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.0019858585960997413,0.25,1.0,-0.9225847703567863,-0.9791988749962164,-0.7105088852634616,lfp_chg_xs,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,-0.00016143434672126694,0.17777777777777778,0.30795475682246193,-0.4163338488343007,-0.5229581213609726,-0.17797746632272338,us_lfp_stress_fx,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.0,0.0,,,0.0,,us_lfp_stress_fx,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.0,0.0,,,0.0,,us_lfp_stress_fx,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.0,0.0,,,0.0,,us_lfp_stress_fx,year_2026,eval,True,False
2025-09-15,2026-09-15,12,0.0,0.0,,,0.0,,us_lfp_stress_fx,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,0.00015243100847481137,0.13333333333333333,0.3455696737146249,0.3911619508436141,0.49450590416929335,0.1687474510115733,us_lfp_haven_usd,full_sample,eval,True,False
2024-01-01,2024-12-31,11,0.0,0.0,,,0.0,,us_lfp_haven_usd,year_2024,eval,True,False
2025-01-01,2025-12-31,11,0.0,0.0,,,0.0,,us_lfp_haven_usd,year_2025,eval,True,False
2026-01-01,2026-12-31,8,0.0,0.0,,,0.0,,us_lfp_haven_usd,year_2026,eval,True,False
2025-09-15,2026-09-15,12,0.0,0.0,,,0.0,,us_lfp_haven_usd,holdout_365d,confirm_only,True,False
2011-09-18,2026-09-15,180,-0.0004549014177370599,0.4666666666666667,0.11049147224073429,-1.5128765618871824,-1.642018537155342,-0.3428520287353827,lfp_ew,full_sample,eval,True,False
2024-01-01,2024-12-31,11,-0.000879910672581994,0.2727272727272727,1.0,-1.0189723760413774,-0.8182445619831324,-0.6973974627266845,lfp_ew,year_2024,eval,True,False
2025-01-01,2025-12-31,11,-0.0004903256204915607,0.45454545454545453,0.762290320547973,-0.5114341667856758,-0.5449889283907913,-0.2200346773713063,lfp_ew,year_2025,eval,True,False
2026-01-01,2026-12-31,8,-0.0001839349916640809,0.25,1.0,-0.16193402339152368,-0.22369098472592483,-0.34582580887689013,lfp_ew,year_2026,eval,True,False
2025-09-15,2026-09-15,12,-0.0012327933818003511,0.16666666666666666,1.0,-1.3625911399934034,-1.1979030632591454,-0.8648257731843411,lfp_ew,holdout_365d,confirm_only,True,False
