,USD,EUR,GBP,JPY,CAD,CHF,AUD,NZD
1948-03-01 00:00:00+00:00,9.6116392278,,,,,,,
1948-04-01 00:00:00+00:00,8.5603110526,,,,,,,
1948-05-01 00:00:00+00:00,7.3076915867,,,,,,,
1948-06-01 00:00:00+00:00,8.1081076483,,,,,,,
1948-07-01 00:00:00+00:00,8.8803087498,,,,,,,
1948-08-01 00:00:00+00:00,9.2664093379,,,,,,,
1948-09-01 00:00:00+00:00,9.9616861888,,,,,,,
1948-10-01 00:00:00+00:00,9.8484851585,,,,,,,
1948-11-01 00:00:00+00:00,7.8066908778,,,,,,,
1948-12-01 00:00:00+00:00,7.0370402922,,,,,,,
1949-01-01 00:00:00+00:00,5.1282074659,,,,,,,
1949-02-01 00:00:00+00:00,2.8880879706,,,,,,,
1949-03-01 00:00:00+00:00,0.7117440774,,,,,,,
1949-04-01 00:00:00+00:00,0.3584230592,,,,,,,
1949-05-01 00:00:00+00:00,0.0,,,,,,,
1949-06-01 00:00:00+00:00,-0.7142860219,,,,,,,
1949-07-01 00:00:00+00:00,-2.1276604843,,,,,,,
1949-08-01 00:00:00+00:00,-2.8268563955,,,,,,,
1949-09-01 00:00:00+00:00,-4.1811864916,,,,,,,
1949-10-01 00:00:00+00:00,-5.1724160403,,,,,,,
1949-11-01 00:00:00+00:00,-4.8275882777,,,,,,,
1949-12-01 00:00:00+00:00,-4.8442927439,,,,,,,
1950-01-01 00:00:00+00:00,-4.52961866,,,,,,,
1950-02-01 00:00:00+00:00,-4.5614054711,,,,,,,
1950-03-01 00:00:00+00:00,-3.8869274841,,,,,,,
1950-04-01 00:00:00+00:00,-2.8571440876,,,,,,,
1950-05-01 00:00:00+00:00,-2.5089616916,,,,,,,
1950-06-01 00:00:00+00:00,-2.1582743175,,,,,,,
1950-07-01 00:00:00+00:00,-1.0869570316,,,,,,,
1950-08-01 00:00:00+00:00,-0.3636364881,,,,,,,
1950-09-01 00:00:00+00:00,1.8181826512,,,,,,,
1950-10-01 00:00:00+00:00,4.3636383488,,,,,,,
1950-11-01 00:00:00+00:00,5.4347850882,,,,,,,
1950-12-01 00:00:00+00:00,6.181821,,,,,,,
1951-01-01 00:00:00+00:00,7.6642332469,,,,,,,
1951-02-01 00:00:00+00:00,10.2941185163,,,,,,,
1951-03-01 00:00:00+00:00,12.1323546609,,,,,,,
