,USD,EUR,GBP,JPY,CAD,AUD,NZD,CHF
1952-05-01 00:00:00+00:00,0.0,,,,,0.0,,0.0
1952-06-01 00:00:00+00:00,0.0,,,,,0.0,,0.0
1952-07-01 00:00:00+00:00,0.0,,,,,0.0,,0.0
1952-08-01 00:00:00+00:00,0.1288328,0.0,,,0.0,0.4687134,,0.0
1952-09-01 00:00:00+00:00,0.1288328,0.0,,,0.0,0.4687134,,0.0
1952-10-01 00:00:00+00:00,0.1288328,0.0,,,0.0,0.4687134,,0.0
1952-11-01 00:00:00+00:00,0.0,0.2499063,,0.0,0.0,0.0,,0.2219756
1952-12-01 00:00:00+00:00,0.0,0.2499063,,0.0,0.0,0.0,,0.2219756
1953-01-01 00:00:00+00:00,0.0,0.2499063,,0.0,0.0,0.0,,0.2219756
1953-02-01 00:00:00+00:00,0.0956892,0.2499063,,0.0,0.0,0.0,,0.1769911
1953-03-01 00:00:00+00:00,0.0956892,0.2499063,,0.0,0.0,0.0,,0.1769911
1953-04-01 00:00:00+00:00,0.0956892,0.2499063,,0.0,0.0,0.0,,0.1769911
1953-05-01 00:00:00+00:00,0.1648941,0.1448855,0.2485089,0.1367989,0.167336,0.1833517,,0.0
1953-06-01 00:00:00+00:00,0.1648941,0.1448855,0.2485089,0.1367989,0.167336,0.1833517,,0.0
1953-07-01 00:00:00+00:00,0.1648941,0.1448855,0.2485089,0.1367989,0.167336,0.1833517,,0.0
1953-08-01 00:00:00+00:00,0.0,0.0,0.0,0.1438642,0.0,0.3415301,,0.2709293
1953-09-01 00:00:00+00:00,0.0,0.0,0.0,0.1438642,0.0,0.3415301,,0.2709293
1953-10-01 00:00:00+00:00,0.0,0.0,0.0,0.1438642,0.0,0.3415301,,0.2709293
1953-11-01 00:00:00+00:00,0.1258495,0.6753107,0.146886,0.0,0.0,0.0,,0.1913509
1953-12-01 00:00:00+00:00,0.1258495,0.6753107,0.146886,0.0,0.0,0.0,,0.1913509
1954-01-01 00:00:00+00:00,0.1258495,0.6753107,0.146886,0.0,0.0,0.0,,0.1913509
1954-02-01 00:00:00+00:00,0.0,0.1365001,0.4698696,0.0,0.4400763,0.0,,0.5295208
1954-03-01 00:00:00+00:00,0.0,0.1365001,0.4698696,0.0,0.4400763,0.0,,0.5295208
1954-04-01 00:00:00+00:00,0.0,0.1365001,0.4698696,0.0,0.4400763,0.0,,0.5295208
1954-05-01 00:00:00+00:00,0.2940888,0.0,0.0,0.0,0.3146963,0.0,,0.0
1954-06-01 00:00:00+00:00,0.2940888,0.0,0.0,0.0,0.3146963,0.0,,0.0
1954-07-01 00:00:00+00:00,0.2940888,0.0,0.0,0.0,0.3146963,0.0,,0.0
1954-08-01 00:00:00+00:00,0.1339585,0.0,0.4471272,0.0,0.3485231,0.2464876,,0.1474057
1954-09-01 00:00:00+00:00,0.1339585,0.0,0.4471272,0.0,0.3485231,0.2464876,,0.1474057
1954-10-01 00:00:00+00:00,0.1339585,0.0,0.4471272,0.0,0.3485231,0.2464876,,0.1474057
1954-11-01 00:00:00+00:00,0.1383509,0.0,0.1135718,0.0,0.3292,0.2232641,,0.1670844
1954-12-01 00:00:00+00:00,0.1383509,0.0,0.1135718,0.0,0.3292,0.2232641,,0.1670844
1955-01-01 00:00:00+00:00,0.1383509,0.0,0.1135718,0.0,0.3292,0.2232641,,0.1670844
1955-02-01 00:00:00+00:00,0.2069322,0.0,0.0,0.2493455,0.0,0.1934984,,0.1500825
