symbol,timeframe,strategy,data_source,bars_total,bars_research,bars_holdout,range_start,range_end,params,wf_mode,folds,is_return,oos_return,oos_max_dd,oos_daily_dd,oos_sharpe,oos_trades,oos_gates_pass,oos_profitable,overfit_oos_weaker,anchored_oos_return,anchored_gates_pass,holdout_return,holdout_max_dd,holdout_daily_dd,holdout_sharpe,holdout_trades,holdout_gates_pass,holdout_profitable_and_gates,ftmo_golive_candidate,baseline_oos_return,baseline_gates_pass,meaningful
USDJPY,D1,hybrid_regime,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 24, ""rsi_high"": 70, ""rsi_low"": 30, ""session_hours"": null}",rolling,21,0.0705148582799185,0.0080407344524734,0.0536412568604851,0.0258492114546304,0.9497214056786872,35,True,True,True,0.0080407344524734,True,0.0182607723144145,0.0211818037663589,0.011059571809883,1.1244805734551335,9,True,True,False,0.0056034405814352,True,True
XAUUSD,H4,breakout_donchian,approximate_non_ftmo,3714,2172,1542,2024-04-24 04:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 0, ""atr_pct_min"": 0.15, ""donchian_window"": 15, ""session_hours"": null, ""use_mid_exit"": false}",rolling,16,0.0342975696380609,0.0062790326503206,0.1105744826781708,0.0486765421316963,0.5131621629336387,60,True,True,True,0.0062790326503206,True,0.2325331662806919,0.0333398818470998,0.018967489188058,2.424244104108419,12,True,True,False,0.0003485152941019,False,True
EURGBP,D1,mean_reversion_regime,approximate_non_ftmo,2602,2342,260,2016-09-14 23:00:00+00:00,2026-09-14 23:00:00+00:00,"{""adx_max"": 25, ""rsi_high"": 70, ""rsi_low"": 35, ""session_hours"": null}",rolling,21,0.0382434339718132,0.0033430732265023,0.0480644733012903,0.0171938603038097,0.635989368070865,10,True,True,True,0.0033430732265023,True,0.0196361877237281,0.0121875418582024,0.0068778673908041,2.6648751997326308,6,True,True,False,0.0022405493788787,True,True
AUDUSD,D1,hybrid_regime,approximate_non_ftmo,5290,5030,260,2006-05-16 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 24, ""rsi_high"": 65, ""rsi_low"": 35, ""session_hours"": null}",rolling,53,0.008410713343244,0.0025010862068843,0.0889658591784216,0.0318010174533298,0.3418185323810592,96,True,True,True,0.0025010862068843,True,0.0154763276018408,0.0211423558657355,0.0101023316383361,1.0968027442232062,9,True,True,False,-8.839251160075027e-05,True,True
USDJPY,D1,bbands_reversion,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_max"": 22, ""require_htf_align"": false, ""require_rsi"": false, ""rsi_high"": 60, ""rsi_low"": 35, ""session_hours"": null}",rolling,21,-0.0016968215025922,0.0024030345050451,0.0501525424228499,0.0250688388187682,0.6551257798322547,18,True,True,False,0.0024030345050451,True,0.0524335895174639,0.0198895604898602,0.0080250831749736,3.1319578283021183,4,True,True,False,0.0017310273963982,True,True
USDJPY,D1,mean_reversion_regime,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_max"": 30, ""rsi_high"": 70, ""rsi_low"": 30, ""session_hours"": null}",rolling,21,0.0117908081314492,0.0022912499774676,0.0649704515393011,0.0254749212641493,-0.203980783684908,12,True,True,True,0.0022912499774676,True,0.0746570790433314,0.0144163648718752,0.0079483441182941,5.009910825663484,4,True,True,False,-0.0036655142535552,True,True
USDCHF,H4,bbands_reversion,approximate_non_ftmo,4438,2851,1587,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 22, ""require_htf_align"": false, ""require_rsi"": false, ""rsi_high"": 60, ""rsi_low"": 35, ""session_hours"": null}",rolling,23,0.0056567740060013,0.0020822582035555,0.0237754767275831,0.0133751599909343,1.4388105975417105,26,True,True,True,0.0020822582035555,True,0.036036340113803,0.0238900388941314,0.0110546195414848,0.8199603203908117,43,True,True,False,0.0003649062382366,True,True
GBPUSD,H4,breakout_donchian,approximate_non_ftmo,4437,2851,1586,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 15, ""atr_pct_min"": 0.15, ""donchian_window"": 30, ""session_hours"": null, ""use_mid_exit"": false}",rolling,23,0.0012996060427083,0.0018690579365797,0.0379470872933357,0.0190156769398276,0.4337304658948822,104,True,True,False,0.0018690579365797,True,0.0326176264108935,0.0649445128226312,0.0153850217873707,0.412447553163752,111,True,True,False,-0.000173354491121,True,True
USDJPY,H4,squeeze_breakout,approximate_non_ftmo,4435,2852,1583,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 18, ""exit_bars"": 8, ""lookback"": 40, ""session_hours"": null, ""squeeze_pct"": 0.2}",rolling,23,0.0087088225399453,0.00117991297899,0.0258633735692141,0.011238077854254,0.5016126215634531,44,True,True,True,0.00117991297899,True,0.0092685871123177,0.0427281189794774,0.0134541634787383,0.2079541307408436,62,True,True,False,0.0007672905441888,True,True
USDCAD,H4,hybrid_regime,approximate_non_ftmo,4452,2863,1589,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 24, ""max_hold"": 0, ""rsi_high"": 65, ""rsi_low"": 30, ""session_hours"": null}",rolling,23,-0.007186368999652,0.0007515479655711,0.0333439513962105,0.0275249989365483,0.2659908092419644,73,True,True,False,0.0007515479655711,True,0.0163063519064317,0.0333131272332693,0.0091529377875915,0.4514363616864147,93,True,True,False,0.0013091644633452,True,True
USDJPY,H4,atr_channel_breakout,approximate_non_ftmo,4435,2852,1583,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 18, ""atr_mult"": 1.5, ""exit_to_mid"": false, ""max_hold"": 0, ""require_htf_align"": false, ""session_hours"": null}",rolling,23,0.0191213464644153,0.0004595898690555,0.0528482297344037,0.0238013190725854,0.0581045392971505,108,True,True,True,0.0004595898690555,True,0.0140066160370959,0.0550160590471243,0.0267239998941392,0.2134344651233006,118,True,True,False,-0.0011529972783833,True,True
GBPUSD,H4,stoch_reversion,approximate_non_ftmo,4437,2851,1586,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 28, ""exit_mid"": 50, ""require_htf_align"": false, ""session_hours"": null, ""stoch_high"": 75, ""stoch_low"": 15}",rolling,23,0.001950125176807,0.0002760853211782,0.043737010116577,0.015360430831909,-0.0540315932455675,69,True,True,True,0.0002760853211782,True,0.0125101051712162,0.0465915387489036,0.0149389505386352,0.2053951232734786,91,True,True,False,7.072885264577823e-05,True,True
NZDUSD,D1,squeeze_breakout,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_min"": 18, ""exit_bars"": 8, ""lookback"": 60, ""session_hours"": null, ""squeeze_pct"": 0.2}",rolling,21,-0.0159508341293608,-0.0005348129850505,0.0318259848792003,0.015142533607483,-0.287191213756639,34,True,False,False,-0.0005348129850505,True,0.0420140388802114,0.0148678877455404,0.0076873302459716,3.755092139471503,8,True,True,False,-0.0020254606918803,True,True
